model_name,top_n_words,topic_representations,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
LDA,3,"[['imeti', 'človek', 'vedeti'], ['gledati', 'via', 'jasen'], ['stranka', 'narediti', 'lev'], ['Ljubljana', 'pomoč', 'protest'], ['star', 'zakon', 'levičar'], ['covid', 'epidemija', 'dr.'], ['komunističen', 'držati', 'Šarec'], ['predsednik', 'dobiti', 'novinar'], ['državen', 'poslanec', 'skupaj'], ['najbolj', 'policija', 'skupina'], ['Slovenija', 'vlada', 'nov'], ['pisati', 'roka', 'resnica'], ['mesto', 'življenje', 'služba'], ['iti', 'minister', 'javen'], ['začeti', 'šola', 'upati']]",1.0,-0.006928215732149127,-5.197586041059659,3
BERTopic,3,"[['imeti', 'slovenija', 'iti'], ['zdravnik', 'zdravstvo', 'zdravstven'], ['komunist', 'komunističen', 'komunizem'], ['protest', 'protestnik', 'ljubljana'], ['minister', 'ministrica', 'premier'], ['tekma', 'šport', 'zmaga'], ['vlada', 'tehničen', 'pomoč'], ['okužba', 'okužen', 'test'], ['volitev', 'trump', 'volilen'], ['sodišče', 'sodnik', 'ustaven'], ['koronavirus', 'italija', 'nov'], ['policija', 'policist', 'policijski'], ['maska', 'nositi', 'nošenje'], ['evro', 'milijon', 'proračun'], ['otrok', 'starš', 'družina']]",1.0,0.16939864912395927,-5.7183823643746035,3
top2vec,5,"[array(['mafija', 'razkriti', 'ukrepati', 'preganjati', 'beovic'],
      dtype='<U15'), array(['pgd', 'eksplozija', 'pozar', 'voznik', 'naselje'], dtype='<U15'), array(['plebiscit', 'spodaj', 'letnica', 'nos', 'merilo'], dtype='<U15'), array(['napacen', 'umreti', 'dejati', 'erika', 'nauciti'], dtype='<U15'), array(['zaupanje', 'opozicijski', 'naloga', 'prispevati', 'stanje'],
      dtype='<U15'), array(['metati', 'enoten', 'premalo', 'opozicijski', 'spraviti'],
      dtype='<U15'), array(['pustiti', 'kupiti', 'svoboden', 'spomenka', 'vecer'], dtype='<U15'), array(['peticija', 'obnasati', 'sedanji', 'pamet', 'davkoplacevalec'],
      dtype='<U15'), array(['spati', 'edin', 'delez', 'zacenjati', 'nebo'], dtype='<U15'), array(['zmagovalec', 'srecati', 'biden', 'pustiti', 'jokati'],
      dtype='<U15'), array(['spati', 'nebo', 'skrajnez', 'kritizirati', 'desnicar'],
      dtype='<U15'), array(['tocno', 'hkrati', 'coronavirus', 'prispevati', 'polovica'],
      dtype='<U15'), array(['kam', 'naselje', 'matjaz', 'blagoven', 'antifa'], dtype='<U15'), array(['blagoven', 'potreba', 'franc', 'odhod', 'prebivalec'],
      dtype='<U15'), array(['spati', 'rezerva', 'slucajno', 'veter', 'poletje'], dtype='<U15')]",0.8933333333333333,-0.3617300646835473,-17.768342618264622,1
NMF,5,"[['slovenski', 'vojska', 'narod', 'politika', 'Slovenec'], ['iti', 'RTV', 'reči', 'spati', 'priti'], ['Slovenija', 'RTV', 'republika', 'koronavirus', 'predsednik'], ['človek', 'delati', 'umreti', 'življenje', 'razumeti'], ['nov', 'okužba', 'koronavirus', 'mesto', 'demokracija'], ['dobiti', 'otrok', 'denar', 'volitev', 'covid'], ['svet', 'državen', 'medij', 'predsednik', 'priti'], ['minister', 'javen', 'političen', 'stranka', 'zunanji'], ['ukrep', 'covid', 'Janša', 'epidemija', 'delo'], ['čas', 'vedeti', 'maska', 'dati', 'nositi'], ['vlada', 'predsednik', 'lev', 'Janšev', 'prejšnji'], ['Ljubljana', 'gasilec', 'pomoč', 'protest', 'požar'], ['dr.', 'intervju', 'ura', 'oddaja', 'čas'], ['država', 'globok', 'praven', 'predsednik', 'evropski'], ['imeti', 'pravica', 'težava', 'zato', 'delati']]",0.88,0.04500672434270954,-4.910331931331372,1
LDA,5,"[['človek', 'vedeti', 'Janša', 'delati', 'dati'], ['dobiti', 'reči', 'sodišče', 'meja', 'vojna'], ['delo', 'otrok', 'policija', 'šola', 'čakati'], ['demokracija', 'zdravnik', 'napad', 'ostal', 'hrvaški'], ['praviti', 'gledati', 'življenje', 'prositi', 'jasen'], ['Ljubljana', 'pomoč', 'občina', 'pomagati', 'skupina'], ['minister', 'misliti', 'hvala', 'današnji', 'zmaga'], ['slovenski', 'predsednik', 'Slovenec', 'narediti', 'govoriti'], ['maska', 'ostati', 'podpora', 'potrebovati', 'policist'], ['vlada', 'iti', 'država', 'svet', 'medij'], ['državen', 'konec', 'intervju', 'živeti', 'družba'], ['imeti', 'Slovenija', 'nov', 'čas', 'covid'], ['protest', 'ura', 'oddaja', 'vprašanje', 'verjeti'], ['zdravstven', 'ZDA', 'doma', 'gasilec', 'požar'], ['denar', 'pravica', 'levičar', 'problem', 'vojska']]",1.0,-0.03960663313576313,-5.635452716428302,1
BERTopic,5,"[['imeti', 'slovenija', 'vlada', 'iti', 'človek'], ['koronavirus', 'okužba', 'italija', 'nov', 'okužen'], ['zdravnik', 'zdravstven', 'zdravstvo', 'dr', 'zdravje'], ['sodišče', 'sodnik', 'ustaven', 'pravnik', 'tožilstvo'], ['protest', 'protestnik', 'smrt', 'protestirati', 'petkov'], ['tekma', 'šport', 'zmaga', 'prvak', 'olimpija'], ['maska', 'zaščiten', 'nositi', 'oprema', 'nošenje'], ['otrok', 'zastava', 'starš', 'družina', 'mama'], ['komunist', 'komunističen', 'komunizem', 'narod', 'totalitarizem'], ['vlada', 'tehničen', 'pomoč', 'oseba', 'gasilec'], ['ljubljana', 'slovenija', 'slovenec', 'slovenski', 'stanovanje'], ['policija', 'policist', 'policijski', 'sindikat', 'policaj'], ['volitev', 'demokracija', 'volilen', 'glas', 'slovenski'], ['minister', 'ministrica', 'notranji', 'zunanji', 'premier'], ['evro', 'milijon', 'proračun', 'eur', 'milijarda']]",0.96,0.08368902253723577,-6.669106592806804,1
top2vec,5,"[array(['naselje', 'voznik', 'eksplozija', 'prometen', 'kolo'],
      dtype='<U15'), array(['beovic', 'umrl', 'povabiti', 'tipicen', 'dvakrat'], dtype='<U15'), array(['ukvarjati', 'srecati', 'ubiti', 'resnicen', 'opravljati'],
      dtype='<U15'), array(['edin', 'jajce', 'privosciti', 'fant', 'teroristicen'],
      dtype='<U15'), array(['moder', 'zlat', 'nebo', 'rezerva', 'francija'], dtype='<U15'), array(['jasa', 'presernov', 'zlat', 'odgovornost', 'spomenka'],
      dtype='<U15'), array(['opcija', 'ponuditi', 'prepoznati', 'spodnji', 'vpliv'],
      dtype='<U15'), array(['hribar', 'trend', 'upanje', 'rit', 'izguba'], dtype='<U15'), array(['odgovornost', 'smrt', 'srecati', 'stati', 'nogomet'], dtype='<U15'), array(['novinarstvo', 'polovica', 'izgledati', 'zanimivo', 'ukinitev'],
      dtype='<U15'), array(['borut', 'bozic', 'elita', 'pamet', 'rojsten'], dtype='<U15'), array(['sram', 'elita', 'posten', 'ponuditi', 'tiskoven'], dtype='<U15'), array(['vladati', 'ukvarjati', 'kriz', 'nabava', 'zlat'], dtype='<U15'), array(['avtomobil', 'umreti', 'gobec', 'zamuditi', 'spremeniti'],
      dtype='<U15'), array(['padati', 'blagoven', 'obcinski', 'vodenje', 'pop'], dtype='<U15')]",0.9066666666666666,-0.38191795053541827,-17.763131959002237,2
NMF,5,"[['čas', 'predsednik', 'epidemija', 'večen', 'kriza'], ['država', 'globok', 'praven', 'predsednik', 'evropski'], ['človek', 'delati', 'umreti', 'življenje', 'dati'], ['imeti', 'pravica', 'težava', 'pojem', 'povedati'], ['vlada', 'predsednik', 'ukrep', 'Janšev', 'lev'], ['minister', 'delo', 'zunanji', 'epidemija', 'notranji'], ['Slovenija', 'RTV', 'republika', 'koronavirus', 'predsednik'], ['covid', 'medij', 'ukrep', 'okužba', 'koronavirus'], ['slovenski', 'vojska', 'narod', 'Slovenec', 'politika'], ['vedeti', 'povedati', 'delati', 'medij', 'dr.'], ['stranka', 'političen', 'poslanec', 'lev', 'levica'], ['iti', 'RTV', 'priti', 'reči', 'spati'], ['Janša', 'Janez', 'predsednik', 'delo', 'premier'], ['nov', 'okužba', 'koronavirus', 'mesto', 'demokracija'], ['svet', 'maska', 'ukrep', 'videti', 'otrok']]",0.7866666666666666,0.05504145505540486,-5.138058831322756,2
LDA,5,"[['državen', 'šola', 'rdeč', 'podjetje', 'milijon'], ['pomoč', 'mesto', 'zgoditi', 'napad', 'mogoč'], ['Slovenija', 'vlada', 'iti', 'slovenski', 'država'], ['novinar', 'govoriti', 'sodišče', 'pisati', 'postati'], ['RTV', 'via', 'upati', 'roka', 'dejstvo'], ['imeti', 'človek', 'vedeti', 'delati', 'dati'], ['politika', 'današnji', 'jasen', 'kultura', 'poročilo'], ['star', 'dom', 'ZDA', 'verjeti', 'doma'], ['nov', 'covid', 'ukrep', 'Ljubljana', 'epidemija'], ['oddaja', 'skupaj', 'zanimiv', 'pogovor', 'družina'], ['javen', 'dr.', 'protest', 'konec', 'poslanec'], ['delo', 'ura', 'služba', 'podpora', 'koalicija'], ['Slovenec', 'vojna', 'pravica', 'levičar', 'narod'], ['maska', 'ostati', 'problem', 'direktor', 'pot'], ['otrok', 'hvala', 'življenje', 'policist', 'ostal']]",1.0,-0.05752132288843108,-6.831809032541524,2
BERTopic,5,"[['imeti', 'slovenija', 'iti', 'vlada', 'človek'], ['zdravstvo', 'zdravnik', 'zdravstven', 'dr', 'ventilator'], ['sodišče', 'sodnik', 'ustaven', 'praven', 'zakon'], ['komunist', 'komunističen', 'komunizem', 'fašizem', 'fašist'], ['epidemija', 'okužba', 'okužen', 'test', 'švedski'], ['protest', 'protestnik', 'ljubljana', 'protestirati', 'smrt'], ['koronavirus', 'italija', 'okužba', 'nov', 'italijanski'], ['tekma', 'šport', 'liga', 'zmaga', 'prvak'], ['volitev', 'trump', 'glas', 'volilen', 'referendum'], ['vlada', 'tehničen', 'pomoč', 'prijava', 'reševalec'], ['evro', 'milijon', 'eur', 'proračun', 'milijarda'], ['minister', 'ministrica', 'notranji', 'premier', 'vlada'], ['policija', 'policist', 'policijski', 'sindikat', 'policaj'], ['maska', 'nositi', 'nošenje', 'zaščiten', 'imeti'], ['slovenija', 'ljubljana', 'slovenec', 'slovenski', 'kranj']]",0.92,0.06714452757397554,-6.67181370609082,2
