model_name,num_topics,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
NMF,5,0.808,0.047291890038549944,-1.778456775745423,1
LDA,5,0.584,-0.019583100787214015,-1.7951754314363684,1
BERTopic,5,0.96,0.12207773047634331,-3.5419277882537856,1
NMF,10,0.78,0.05829211830812091,-2.1756491198351173,1
LDA,10,0.524,-0.017694125889639176,-1.971785295506502,1
BERTopic,10,0.96,0.12207773047634331,-3.5419277882537856,1
NMF,20,0.668,0.07291840856125528,-1.9337588830462245,1
LDA,20,0.508,-0.04505030199502831,-2.9242188633948567,1
BERTopic,20,0.96,0.12207773047634331,-3.5419277882537856,1
NMF,50,0.5704,0.07478768612056479,-2.6597549550776605,1
LDA,50,0.4696,-0.055762583544416905,-3.5368131767111013,1
BERTopic,50,0.96,0.12207773047634331,-3.5419277882537856,1
NMF,5,0.888,0.08897022331206042,-1.7082092189045301,2
LDA,5,0.584,-0.003751974597287483,-1.37060909667894,2
BERTopic,5,0.96,0.10348414110793619,-3.697793369717112,2
NMF,10,0.684,0.054403439454676315,-2.1650476425033176,2
LDA,10,0.512,-0.035604607986420095,-2.5693215507620835,2
BERTopic,10,0.96,0.10348414110793619,-3.697793369717112,2
NMF,20,0.676,0.07088750842335909,-2.5429371077970826,2
LDA,20,0.512,-0.0248973229330303,-2.61727935306875,2
BERTopic,20,0.96,0.10348414110793619,-3.697793369717112,2
NMF,50,0.588,0.08103365165291412,-2.7732186823572733,2
LDA,50,0.488,-0.054282235604787045,-3.55811883399674,2
BERTopic,50,0.96,0.10348414110793619,-3.697793369717112,2
NMF,5,0.848,0.07266023853586565,-1.7089893292196912,3
LDA,5,0.696,-0.005349479672836503,-1.7378306875939953,3
BERTopic,5,0.96,0.11933601525154576,-3.488853753150566,3
NMF,10,0.74,0.05904143839306421,-1.9656739957816334,3
LDA,10,0.596,-0.02947546363747247,-2.7062301806075126,3
BERTopic,10,0.96,0.11933601525154576,-3.488853753150566,3
NMF,20,0.694,0.07134143859184752,-2.1493816883546955,3
LDA,20,0.518,-0.0008430166985991378,-2.0237191771453795,3
BERTopic,20,0.96,0.11933601525154576,-3.488853753150566,3
NMF,50,0.5584,0.06876503551525853,-2.384708522417014,3
LDA,50,0.4584,-0.02908437150575091,-3.095023769449408,3
BERTopic,50,0.96,0.11933601525154576,-3.488853753150566,3
