model_name,num_documents,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
top2vec,5000,0.4266666666666667,-0.269388639343908,-11.349873480953642,1
NMF,5000,0.68,-0.20792296972652874,-10.98805017204761,1
LDA,5000,1.0,-0.3595613605479793,-15.199689868362874,1
BERTopic,5000,0.9266666666666666,-0.207077374081996,-13.311331873514353,1
top2vec,5000,0.95,-0.26401950340735547,-11.25873590362277,2
NMF,5000,0.66,-0.16453739697554035,-9.739734764905238,2
LDA,5000,1.0,-0.31588004251582996,-14.192154333609995,2
BERTopic,5000,0.94,-0.23443971523079116,-13.970975889721037,2
top2vec,5000,0.43333333333333335,-0.30706756351769326,-12.899255802065001,3
NMF,5000,0.6733333333333333,-0.21198150093047569,-10.716636096554137,3
LDA,5000,1.0,-0.3607085613787512,-15.253944702997583,3
BERTopic,5000,0.88,-0.21707926487512,-13.102864782301602,3
top2vec,10000,0.7733333333333333,-0.3098137239046225,-13.230299133877883,1
NMF,10000,0.68,-0.12755613196337404,-8.492556302321901,1
LDA,10000,1.0,-0.2789209109418701,-12.710271431865314,1
BERTopic,10000,0.9333333333333333,-0.1250944958457723,-11.159354452244829,1
top2vec,10000,0.74,-0.3355027224004399,-14.088337391356946,2
NMF,10000,0.66,-0.08233023074824285,-7.366727399421858,2
LDA,10000,1.0,-0.22758413485685935,-11.707694842782034,2
BERTopic,10000,0.9333333333333333,-0.09061966583749882,-10.473957335439009,2
top2vec,10000,0.7533333333333333,-0.3421354912295827,-14.291436601442717,3
NMF,10000,0.6733333333333333,-0.10850108720262451,-7.8960807123788275,3
LDA,10000,1.0,-0.27988661406380244,-12.899085489129806,3
BERTopic,10000,0.92,-0.16218149383183744,-12.193591900434278,3
top2vec,20000,1.0,-0.3384012885786255,-14.81613592727659,1
NMF,20000,0.68,-0.04153064169019272,-6.24026108061336,1
LDA,20000,1.0,-0.18953042232738887,-10.026081696907955,1
BERTopic,20000,0.8533333333333334,-0.04925571498026613,-9.255915926291511,1
top2vec,20000,1.0,-0.3964956075625573,-17.150917400523397,2
NMF,20000,0.66,-0.029524125347209815,-6.011097814394796,2
LDA,20000,1.0,-0.14491758046525532,-9.016719412985282,2
BERTopic,20000,0.88,-0.04758140428931354,-9.147983541146836,2
top2vec,20000,0.9833333333333333,-0.32413334026445023,-14.477003866342153,3
NMF,20000,0.6733333333333333,-0.047802655237379234,-6.280626595121218,3
LDA,20000,1.0,-0.17485454559930294,-9.858573646889502,3
BERTopic,20000,0.8933333333333333,-0.040205055609544106,-9.017058902108001,3
top2vec,35000,0.7933333333333333,-0.41654548070067526,-18.65284806385679,1
NMF,35000,0.68,-0.006387155274451558,-5.531599885303346,1
LDA,35000,1.0,-0.13361687312213041,-8.536308410603255,1
BERTopic,35000,0.8866666666666667,-0.022213155415327625,-8.653514933247802,1
top2vec,35000,0.7866666666666666,-0.42709830177972663,-19.052562039657793,2
NMF,35000,0.66,0.0063303562145730925,-5.1221748643081195,2
LDA,35000,1.0,-0.08322184830921114,-7.308042571722615,2
BERTopic,35000,0.9133333333333333,-0.03356661644545054,-9.011348682572645,2
top2vec,35000,0.8533333333333334,-0.4177109212411925,-18.531851257613273,3
NMF,35000,0.6733333333333333,-0.005042071611859422,-5.329840247208497,3
LDA,35000,1.0,-0.11750174443822946,-8.166867021933077,3
BERTopic,35000,0.8666666666666667,-0.050206872825670955,-8.859133752361005,3
top2vec,50000,0.8866666666666667,-0.3917500333452357,-18.08860060576766,1
NMF,50000,0.68,0.00975406761035258,-5.10009677256873,1
LDA,50000,1.0,-0.10135775345336487,-7.516945425027385,1
BERTopic,50000,0.8533333333333334,0.018452534583936548,-7.233700502196581,1
top2vec,50000,0.8733333333333333,-0.4141686186640568,-18.85919060342359,2
NMF,50000,0.66,0.016168794955385615,-4.849372256489868,2
LDA,50000,1.0,-0.05781725874841856,-6.547010320991647,2
BERTopic,50000,0.8733333333333333,-0.016425537273703973,-8.037622517404609,2
top2vec,50000,0.84,-0.4142792045202259,-18.855951242838906,3
NMF,50000,0.6733333333333333,0.015199839448012682,-4.928478520650724,3
LDA,50000,1.0,-0.0785931311016713,-7.114618705231804,3
BERTopic,50000,0.8933333333333333,0.023492000480088836,-7.467214437678745,3
