model_name,min_topic_size,topic_representations,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
BERTopic,15,"[['imeti', 'vedeti', 'človek', 'iti', 'vlada', 'čas', 'nov', 'minister', 'dati', 'priti'], ['cepljenje', 'cepivo', 'cepljen', 'virus', 'test', 'covid', 'okužba', 'cepiti', 'obvezen', 'imeti'], ['denar', 'plača', 'iti', 'imeti', 'dodatek', 'davek', 'plačevati', 'plačati', 'delo', 'delati'], ['novinar', 'medij', 'medijski', 'novinarstvo', 'novinarski', 'napad', 'slovenija', 'janša', 'rtv', 'novinarka'], ['sodišče', 'sodnik', 'ustaven', 'sodstvo', 'praven', 'ustava', 'zakon', 'vrhoven', 'soden', 'pravosodje'], ['pravilno', 'imeti', 'narediti', 'vsekakor', 'profil', 'iti', 'normalen', 'veljati', 'poslati', 'zanimati'], ['otrok', 'šola', 'učitelj', 'starš', 'mlad', 'testirati', 'učenec', 'imeti', 'učiti', 'osnoven'], ['komunist', 'komunističen', 'komunizem', 'socializem', 'oblast', 'kuba', 'žrtev', 'socialist', 'socialističen', 'kul'], ['zdravnik', 'pacient', 'bolnišnica', 'bolnik', 'covid', 'medicinski', 'zdravstven', 'zdravstvo', 'sestra', 'bolnica'], ['hvala', 'sreča', 'čestitka', 'čestitati', 'ponosen', 'srečno', 'odlično', 'milost', 'prijatelj', 'imeti'], ['volitev', 'volilec', 'volilen', 'referendum', 'glasovati', 'stranka', 'glasovanje', 'volivec', 'predčasen', 'imeti'], ['črn', 'hemionus', 'okovje', 'drevo', 'pomagati', 'slak', 'žaljiv', 'miška', 'čuden', 'poročilo'], ['fašist', 'nacist', 'fašizem', 'hitler', 'neonacist', 'nacizem', 'skrajen', 'fašističen', 'lev', 'diktator'], ['vlada', 'država', 'delati', 'sektor', 'skrajnost', 'oblast', 'državen', 'narediti', 'sestavljati', 'dolgo'], ['doza', 'imeti', 'razumeti', 'nesposobnost', 'človek', 'folk', 'dolgočasen', 'kriv', 'zanimati', 'dati']]",0.8866666666666667,-0.18921842872299338,-12.295114772599591,1
BERTopic,15,"[['imeti', 'človek', 'vedeti', 'iti', 'čas', 'vlada', 'minister', 'nov', 'priti', 'dati'], ['volitev', 'voda', 'stranka', 'sds', 'referendum', 'političen', 'glasovati', 'volilec', 'koalicija', 'imeti'], ['cepljenje', 'cepivo', 'cepljen', 'covid', 'test', 'cepiti', 'obvezen', 'pcr', 'pozitiven', 'imeti'], ['denar', 'plača', 'iti', 'imeti', 'delo', 'davek', 'cena', 'plačati', 'plačevati', 'dobiti'], ['otrok', 'šola', 'učitelj', 'starš', 'mlad', 'testirati', 'učenec', 'imeti', 'osnoven', 'učiti'], ['sodišče', 'sodnik', 'ustaven', 'sodstvo', 'praven', 'zakon', 'ustava', 'pravosodje', 'vrhoven', 'soden'], ['novinar', 'medij', 'medijski', 'novinarski', 'napad', 'novinarstvo', 'poročati', 'imeti', 'hiša', 'novinarka'], ['pravilno', 'imeti', 'profil', 'normalen', 'veljati', 'poslati', 'zgoditi', 'jasen', 'strava', 'sveder'], ['komunist', 'komunističen', 'komunizem', 'oblast', 'kuba', 'žrtev', 'kul', 'komunistično', 'titoist', 'naslednik'], ['zdravnik', 'pacient', 'bolnik', 'zdravstvo', 'bolnišnica', 'covid', 'dr', 'medicinski', 'sestra', 'bolnica'], ['hvala', 'sreča', 'čestitka', 'čestitati', 'ponosen', 'srečno', 'odlično', 'milost', 'prijatelj', 'imeti'], ['fašist', 'nacist', 'fašizem', 'neonacist', 'hitler', 'nacizem', 'diktator', 'skrajen', 'fašističen', 'totalitaren'], ['vlada', 'država', 'delati', 'državen', 'skrajnost', 'sektor', 'lockdown', 'začasnost', 'sestavljati', 'dolgo'], ['rdeč', 'problem', 'okovje', 'slak', 'žaljiv', 'pognati', 'ogledalo', 'čuden', 'zvezda', 'jutro'], ['praznik', 'praznovati', 'božič', 'proslava', 'tanja', 'fajon', 'razstava', 'zastava', 'ponos', 'državnost']]",0.9333333333333333,-0.20057235298263942,-13.022454509491975,2
BERTopic,15,"[['imeti', 'vedeti', 'človek', 'iti', 'čas', 'vlada', 'minister', 'nov', 'dati', 'stranka'], ['voda', 'rdeč', 'kava', 'imeti', 'priti', 'iti', 'okus', 'pomagati', 'pasti', 'solata'], ['cepljenje', 'cepivo', 'cepljen', 'virus', 'test', 'covid', 'okužba', 'obvezen', 'pcr', 'cepiti'], ['denar', 'plača', 'iti', 'imeti', 'delo', 'cena', 'davek', 'plačati', 'dodatek', 'zakon'], ['otrok', 'šola', 'učitelj', 'starš', 'mlad', 'testirati', 'učenec', 'imeti', 'diploma', 'osnoven'], ['pravilno', 'razumeti', 'imeti', 'misel', 'iti', 'normalen', 'strinjati', 'veljati', 'poslati', 'takrat'], ['sodišče', 'sodnik', 'ustaven', 'sodstvo', 'praven', 'ustava', 'vrhoven', 'zakon', 'soden', 'soditi'], ['novinar', 'medij', 'medijski', 'novinarski', 'napad', 'novinarstvo', 'poročati', 'imeti', 'hiša', 'novinarka'], ['zdravnik', 'pacient', 'zdravstvo', 'bolnišnica', 'bolnik', 'obsedenost', 'covid', 'zdravstven', 'stopnja', 'omeniti'], ['komunist', 'komunističen', 'komunizem', 'oblast', 'kuba', 'žrtev', 'kul', 'stalin', 'komunistično', 'titoist'], ['volitev', 'referendum', 'voda', 'glasovati', 'volilen', 'zakon', 'volilec', 'glasovanje', 'predčasen', 'vlada'], ['vlada', 'država', 'delati', 'državen', 'sektor', 'skrajnost', 'oblast', 'začasnost', 'narediti', 'sestavljati'], ['fašist', 'nacist', 'neonacist', 'hitler', 'fašizem', 'nacizem', 'skrajen', 'fašističen', 'lev', 'diktator'], ['knjiga', 'prebrati', 'članek', 'roman', 'kangler', 'vedeti', 'kultura', 'anarholevičarski', 'min', 'zgrazati'], ['policija', 'policist', 'policijski', 'policaj', 'človek', 'enota', 'hojs', 'mir', 'red', 'misliti']]",0.8866666666666667,-0.20059255686573055,-12.474098466247813,3
BERTopic,20,"[['imeti', 'iti', 'vlada', 'vedeti', 'človek', 'slovenija', 'nov', 'čas', 'država', 'slovenski']]",1.0,-0.14413288730558924,-7.573178070129703,1
BERTopic,20,"[['imeti', 'iti', 'vlada', 'vedeti', 'človek', 'slovenija', 'nov', 'čas', 'država', 'slovenski']]",1.0,-0.14413288730558924,-7.573178070129703,2
BERTopic,20,"[['imeti', 'vedeti', 'človek', 'iti', 'čas', 'vlada', 'minister', 'nov', 'dati', 'videti'], ['voda', 'rdeč', 'iti', 'imeti', 'luknja', 'priti', 'pomagati', 'solata', 'piti', 'črn'], ['volitev', 'stranka', 'sds', 'referendum', 'političen', 'glasovati', 'poslanec', 'volilec', 'koalicija', 'voda'], ['cepljenje', 'cepivo', 'cepljen', 'covid', 'test', 'obvezen', 'cepiti', 'pcr', 'pozitiven', 'imeti'], ['otrok', 'šola', 'učitelj', 'starš', 'imeti', 'mama', 'mlad', 'testirati', 'žena', 'učenec'], ['denar', 'plača', 'iti', 'imeti', 'cena', 'davek', 'plačati', 'plačevati', 'delo', 'dodatek'], ['sodišče', 'sodnik', 'ustaven', 'sodstvo', 'praven', 'ustava', 'vrhoven', 'zakon', 'soden', 'soditi'], ['pravilno', 'imeti', 'normalen', 'veljati', 'poslati', 'takrat', 'zanimati', 'zgoditi', 'jasen', 'kalo'], ['novinar', 'medij', 'medijski', 'novinarski', 'napad', 'novinarstvo', 'poročati', 'imeti', 'hiša', 'novinarka'], ['komunist', 'komunističen', 'komunizem', 'oblast', 'socializem', 'kuba', 'žrtev', 'uspeti', 'kul', 'levica'], ['zdravnik', 'pacient', 'zdravstvo', 'bolnišnica', 'bolnik', 'obsedenost', 'covid', 'zdravstven', 'stopnja', 'omeniti'], ['hvala', 'sreča', 'čestitka', 'čestitati', 'ponosen', 'srečno', 'odlično', 'milost', 'nasmešek', 'mogoče'], ['vlada', 'država', 'državen', 'sektor', 'skrajnost', 'delati', 'oblast', 'začasnost', 'narediti', 'omejevati'], ['policija', 'policist', 'policijski', 'policaj', 'človek', 'enota', 'hojs', 'mir', 'red', 'misliti'], ['knjiga', 'prebrati', 'članek', 'roman', 'vedeti', 'kangler', 'predstavljati', 'literaren', 'anarholevičarski', 'kamal']]",0.9066666666666666,-0.2056060149655368,-12.682941884886235,3
BERTopic,35,"[['imeti', 'vlada', 'iti', 'nov', 'država', 'čas', 'vedeti', 'človek', 'svet', 'minister'], ['slovenija', 'slovenski', 'slovenec', 'ljubljana', 'evropski', 'imeti', 'vlada', 'predsednik', 'evropa', 'država'], ['volitev', 'stranka', 'političen', 'volilec', 'poslanec', 'referendum', 'opozicija', 'glasovati', 'politik', 'koalicija'], ['cepljenje', 'cepivo', 'cepljen', 'covid', 'test', 'cepiti', 'obvezen', 'imeti', 'človek', 'virus'], ['otrok', 'šola', 'učitelj', 'starš', 'mlad', 'imeti', 'testirati', 'učenec', 'osnoven', 'diploma'], ['sodišče', 'sodnik', 'ustaven', 'sodstvo', 'praven', 'vrhoven', 'ustava', 'zakon', 'pravosodje', 'soden'], ['denar', 'plača', 'iti', 'imeti', 'davek', 'cena', 'plačati', 'delo', 'plačevati', 'dodatek'], ['novinar', 'medij', 'medijski', 'novinarski', 'napad', 'novinarstvo', 'poročati', 'imeti', 'hiša', 'novinarka'], ['vlada', 'minister', 'država', 'odstop', 'državen', 'lockdown', 'imeti', 'delo', 'narediti', 'notranji'], ['zdravnik', 'pacient', 'zdravstvo', 'bolnišnica', 'bolnik', 'zdravstven', 'obsedenost', 'covid', 'stopnja', 'omeniti'], ['komunist', 'komunističen', 'komunizem', 'oblast', 'kuba', 'žrtev', 'kul', 'komunistično', 'titoist', 'iti'], ['hvala', 'sreča', 'čestitka', 'čestitati', 'ponosen', 'odlično', 'milost', 'imeti', 'drag', 'pot'], ['praznik', 'praznovati', 'proslava', 'božič', 'praznovanje', 'tanja', 'fajon', 'razstava', 'ponos', 'državnost'], ['policija', 'policist', 'policijski', 'policaj', 'hojs', 'mir', 'red', 'misliti', 'protestnik', 'omrezje'], ['twitter', 'tvit', 'tviter', 'twit', 'težava', 'tw', 'profil', 'napisati', 'diktirati', 'twitati']]",0.8866666666666667,-0.16970947847177978,-11.509829600061522,1
BERTopic,35,"[['imeti', 'vlada', 'nov', 'iti', 'vedeti', 'država', 'človek', 'čas', 'svet', 'predsednik'], ['slovenija', 'slovenski', 'slovenec', 'ljubljana', 'evropski', 'imeti', 'vlada', 'evropa', 'država', 'bruselj'], ['cepljenje', 'cepivo', 'cepljen', 'covid', 'test', 'cepiti', 'obvezen', 'virus', 'imeti', 'človek'], ['volitev', 'stranka', 'političen', 'volilec', 'referendum', 'opozicija', 'glasovati', 'poslanec', 'politik', 'koalicija'], ['otrok', 'šola', 'učitelj', 'starš', 'mlad', 'testirati', 'učenec', 'imeti', 'osnoven', 'diploma'], ['denar', 'plača', 'iti', 'imeti', 'delo', 'davek', 'cena', 'plačati', 'plačevati', 'dodatek'], ['sodišče', 'sodnik', 'ustaven', 'sodstvo', 'praven', 'ustava', 'zakon', 'pravosodje', 'vrhoven', 'soden'], ['zdravnik', 'pacient', 'zdravstvo', 'bolnišnica', 'bolnik', 'zdravstven', 'obsedenost', 'covid', 'zdravljenje', 'stopnja'], ['novinar', 'medij', 'medijski', 'novinarski', 'napad', 'novinarstvo', 'poročati', 'imeti', 'hiša', 'novinarka'], ['vlada', 'minister', 'država', 'državen', 'odstop', 'lockdown', 'delo', 'narediti', 'notranji', 'interpelacija'], ['komunist', 'komunističen', 'komunizem', 'oblast', 'kuba', 'žrtev', 'socialist', 'uspeti', 'kul', 'levica'], ['hvala', 'sreča', 'čestitka', 'čestitati', 'ponosen', 'srečno', 'odlično', 'milost', 'prijatelj', 'imeti'], ['policija', 'policist', 'policijski', 'policaj', 'človek', 'enota', 'hojs', 'ulica', 'tožilstvo', 'mir'], ['praznik', 'praznovati', 'božič', 'proslava', 'razstava', 'zastava', 'državnost', 'ponos', 'praznovanje', 'slovesnost'], ['twitter', 'tvit', 'tviter', 'twit', 'težava', 'tw', 'profil', 'napisati', 'diktirati', 'retwit']]",0.9,-0.19129206352980926,-12.123072847661717,2
BERTopic,35,"[['imeti', 'vlada', 'država', 'nov', 'predsednik', 'zakon', 'čas', 'človek', 'minister', 'vedeti'], ['slovenija', 'slovenski', 'slovenec', 'ljubljana', 'evropski', 'imeti', 'država', 'vlada', 'svet', 'evropa'], ['volitev', 'stranka', 'političen', 'poslanec', 'referendum', 'opozicija', 'glasovati', 'volilec', 'koalicija', 'politik'], ['cepljenje', 'cepivo', 'cepljen', 'covid', 'test', 'obvezen', 'cepiti', 'imeti', 'okužba', 'odmerek'], ['otrok', 'šola', 'učitelj', 'starš', 'mlad', 'imeti', 'testirati', 'učenec', 'diploma', 'iti'], ['zdravnik', 'pacient', 'zdravstvo', 'epidemija', 'bolnišnica', 'covid', 'bolnik', 'zdravstven', 'obsedenost', 'dr'], ['vlada', 'minister', 'država', 'državen', 'lockdown', 'narediti', 'odstop', 'oblast', 'imeti', 'zaupati'], ['denar', 'plača', 'iti', 'imeti', 'cena', 'davek', 'plačati', 'delo', 'plačevati', 'dodatek'], ['sodišče', 'sodnik', 'ustaven', 'sodstvo', 'praven', 'ustava', 'zakon', 'pravosodje', 'vrhoven', 'soden'], ['novinar', 'medij', 'medijski', 'novinarski', 'napad', 'novinarstvo', 'poročati', 'imeti', 'hiša', 'novinarka'], ['komunist', 'komunističen', 'komunizem', 'oblast', 'kuba', 'žrtev', 'kul', 'levica', 'komunistično', 'titoist'], ['policija', 'policist', 'policijski', 'policaj', 'človek', 'enota', 'hojs', 'pustiti', 'mir', 'red'], ['praznik', 'praznovati', 'proslava', 'božič', 'praznovanje', 'razstava', 'zastava', 'ponos', 'državnost', 'slovesnost'], ['fašist', 'nacist', 'fašizem', 'neonacist', 'nacizem', 'hitler', 'fašističen', 'treba', 'prepoznati', 'janšist'], ['twitter', 'tvit', 'tviter', 'twit', 'težava', 'tw', 'profil', 'napisati', 'diktirati', 'twitati']]",0.8933333333333333,-0.17381508245260519,-11.637700909216584,3
BERTopic,50,"[['imeti', 'minister', 'iti', 'čas', 'vedeti', 'nov', 'človek', 'država', 'vlada', 'zakon'], ['zdravnik', 'pacient', 'zdravstvo', 'bolnišnica', 'bolnik', 'zdravstven', 'obsedenost', 'covid', 'zdravljenje', 'stopnja'], ['cepljenje', 'cepivo', 'cepljen', 'covid', 'test', 'cepiti', 'obvezen', 'imeti', 'okužba', 'človek'], ['otrok', 'šola', 'učitelj', 'starš', 'mlad', 'testirati', 'imeti', 'učenec', 'osnoven', 'diploma'], ['novinar', 'medij', 'twitter', 'rtv', 'medijski', 'novinarski', 'imeti', 'tvit', 'napad', 'tw'], ['komunist', 'komunističen', 'komunizem', 'fašist', 'fašizem', 'nacist', 'socializem', 'vlada', 'neonacist', 'oblast'], ['volitev', 'stranka', 'političen', 'volilec', 'poslanec', 'opozicija', 'referendum', 'glasovati', 'koalicija', 'politik'], ['policija', 'policist', 'policijski', 'policaj', 'protestnik', 'park', 'voden', 'človek', 'enota', 'hojs'], ['sodišče', 'sodnik', 'ustaven', 'sodstvo', 'praven', 'vrhoven', 'ustava', 'zakon', 'pravosodje', 'soden'], ['denar', 'plača', 'iti', 'davek', 'imeti', 'plačati', 'delo', 'plačevati', 'cena', 'dodatek'], ['vlada', 'država', 'minister', 'lockdown', 'narediti', 'oblast', 'državen', 'zaupati', 'interpelacija', 'sektor'], ['hvala', 'čestitka', 'čestitati', 'sreča', 'ponosen', 'odlično', 'milost', 'drag', 'pot', 'smejati'], ['imeti', 'vedeti', 'človek', 'iti', 'dati', 'priti', 'reči', 'čas', 'videti', 'povedati']]",0.8538461538461538,-0.1587301144219917,-10.928903037154347,1
