model_name,num_topics,topic_representations,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
LDA,5,"[['tekma', 'sezona', 'liga', 'ekipa', 'imeti', 'klub', 'mesto', 'slovenski', 'točka', 'zmaga'], ['nov', 'okužba', 'koronavirus', 'človek', 'covid', 'država', 'število', 'imeti', 'ukrep', 'okužen'], ['vlada', 'država', 'predsednik', 'Slovenija', 'evropski', 'stranka', 'minister', 'nov', 'slovenski', 'dejati'], ['imeti', 'čas', 'človek', 'življenje', 'zato', 'iti', 'otrok', 'svet', 'nov', 'slovenski'], ['Slovenija', 'delo', 'evro', 'podjetje', 'občina', 'ukrep', 'nov', 'Ljubljana', 'odstotek', 'javen']]",0.78,0.06421225298654963,-1.1737805540962607,3
BERTopic,5,"[['imeti', 'nov', 'slovenija', 'čas', 'država', 'človek', 'slovenski', 'delo', 'vlada', 'iti'], ['tekma', 'liga', 'sezona', 'točka', 'ekipa', 'minuta', 'zmaga', 'imeti', 'klub', 'igrati'], ['tekma', 'sezona', 'liga', 'turnir', 'klub', 'svetoven', 'prvenstvo', 'imeti', 'mesto', 'igra'], ['maska', 'ukrep', 'vlada', 'slovenija', 'država', 'odlok', 'javen', 'meja', 'nov', 'občina'], ['film', 'filmski', 'imeti', 'igralec', 'meghan', 'festival', 'življenje', 'družina', 'režiser', 'harry']]",0.78,0.037990225626339094,-2.309288603437848,3
top2vec,8,"[array(['vozisce', 'brezina', 'cestisce', 'smeren', 'voznica', 'moped',
       'vodovoden', 'meteoren', 'voznik', 'vozilo'], dtype='<U14'), array(['tekma', 'branilec', 'kapetan', 'trener', 'zadetek', 'soigralec',
       'dvoboj', 'reprezentancen', 'derbi', 'zabiti'], dtype='<U14'), array(['bolnik', 'bolnisnicen', 'obolel', 'nijz', 'pacient', 'nimz',
       'beovicev', 'hospitaliziran', 'epidemioloski', 'dihalo'],
      dtype='<U14'), array(['donald', 'trump', 'posvariti', 'trumpov', 'washington',
       'republikanec', 'tiskoven', 'republikanski', 'zda', 'bidnov'],
      dtype='<U14'), array(['zaljubiti', 'pevka', 'obozevalec', 'ljubezenski', 'romanticen',
       'obozevalka', 'zaljubljen', 'seksi', 'ljubezen', 'instagram'],
      dtype='<U14'), array(['bruto', 'obresten', 'likvidnost', 'rast', 'makroekonomski',
       'prihodek', 'kreditiranje', 'neto', 'medletno', 'kapitalski'],
      dtype='<U14'), array(['sds', 'jansev', 'smc', 'lms', 'levica', 'poslanec', 'koalicija',
       'desus', 'koalicijski', 'sab'], dtype='<U14'), array(['literaren', 'pisatelj', 'teoloski', 'opus', 'simpozij', 'likoven',
       'razstava', 'zgodovinar', 'umetnik', 'slikarstvo'], dtype='<U14')]",1.0,0.06423977181851878,-3.8480312579103293,1
NMF,8,"[['nov', 'podjetje', 'evro', 'odstotek', 'ljubezen', 'milijon', 'projekt', 'družba', 'spleten', 'področje'], ['občina', 'ura', 'javen', 'delo', 'mesten', 'čas', 'ukrep', 'številka', 'center', 'dom'], ['otrok', 'šola', 'starš', 'vrtec', 'učenec', 'šolski', 'družina', 'pomoč', 'izobraževanje', 'težava'], ['vlada', 'Slovenija', 'država', 'predsednik', 'stranka', 'slovenski', 'evropski', 'ukrep', 'zakon', 'minister'], ['tekma', 'sezona', 'liga', 'ekipa', 'slovenski', 'klub', 'točka', 'mesto', 'igrati', 'zmaga'], ['nov', 'okužba', 'koronavirus', 'človek', 'država', 'covid', 'število', 'ukrep', 'potrditi', 'okužen'], ['Ljubljana', 'Slovenija', 'slovenski', 'Nbsp', 'sodišče', 'minister', 'nov', 'predsednik', 'svet', 'mednaroden'], ['imeti', 'človek', 'čas', 'iti', 'zato', 'vedeti', 'življenje', 'priti', 'videti', 'reči']]",0.85,0.08705636890380065,-1.5078406012599799,1
LDA,8,"[['mesto', 'svetoven', 'sezona', 'dirka', 'slovenski', 'imeti', 'ekipa', 'konec', 'športen', 'šport'], ['evro', 'podjetje', 'odstotek', 'Slovenija', 'delo', 'milijon', 'nov', 'javen', 'družba', 'ukrep'], ['tekma', 'liga', 'klub', 'sezona', 'ekipa', 'igralec', 'igrati', 'točka', 'minuta', 'prvak'], ['nov', 'koronavirus', 'okužba', 'ukrep', 'človek', 'država', 'covid', 'število', 'zdravstven', 'dom'], ['občina', 'vozilo', 'policist', 'ura', 'cesta', 'območje', 'nesreča', 'avtomobil', 'voznik', 'policija'], ['imeti', 'čas', 'zato', 'človek', 'iti', 'vedeti', 'nov', 'življenje', 'videti', 'pomemben'], ['slovenski', 'svet', 'delo', 'otrok', 'mlad', 'film', 'nov', 'Slovenija', 'knjiga', 'Ljubljana'], ['vlada', 'predsednik', 'država', 'stranka', 'Slovenija', 'minister', 'evropski', 'sodišče', 'dejati', 'medij']]",0.8375,0.08111387237609062,-1.4406036366988049,1
BERTopic,8,"[['imeti', 'nov', 'slovenija', 'čas', 'država', 'človek', 'slovenski', 'delo', 'iti', 'vlada'], ['tekma', 'točka', 'sezona', 'zmaga', 'liga', 'minuta', 'mesto', 'ekipa', 'imeti', 'igralec'], ['občina', 'stanovanje', 'objekt', 'prostor', 'nov', 'projekt', 'požar', 'gradnja', 'cesta', 'delo'], ['okužba', 'nov', 'koronavirus', 'kitajski', 'država', 'človek', 'število', 'potrditi', 'umreti', 'ukrep'], ['film', 'filmski', 'imeti', 'življenje', 'igralec', 'družina', 'vloga', 'meghan', 'režiser', 'festival'], ['okužba', 'nov', 'dom', 'covid', 'cepivo', 'okužen', 'bolnik', 'koronavirus', 'stanovalec', 'bolnišnica'], ['stranka', 'vlada', 'desus', 'predsednik', 'koalicija', 'poslanec', 'volitev', 'smc', 'janša', 'poslanski'], ['slovenija', 'ukrep', 'vlada', 'država', 'meja', 'odlok', 'hrvaški', 'trgovina', 'nov', 'javen']]",0.7875,0.07318821607071964,-2.3855586814269083,1
top2vec,8,"[array(['branilec', 'tekma', 'trener', 'kapetan', 'reprezentancen',
       'zadetek', 'zabiti', 'derbi', 'dres', 'dvoboj'], dtype='<U14'), array(['koalicijski', 'lms', 'sab', 'smc', 'desus', 'nsi', 'sds',
       'levica', 'poslanski', 'koalicija'], dtype='<U14'), array(['vozisce', 'brezina', 'naselje', 'cestisce', 'cesta', 'lopata',
       'arso', 'neprilagojen', 'padavina', 'cestno'], dtype='<U14'), array(['umetniski', 'ustvarjalec', 'vizualen', 'umetnost', 'opus',
       'umetnik', 'glasba', 'likoven', 'gledaliski', 'slikarstvo'],
      dtype='<U14'), array(['bolnisnicen', 'bolnik', 'pacient', 'nijz', 'obolel', 'beovicev',
       'obolenje', 'dihalo', 'hospitaliziran', 'nimz'], dtype='<U14'), array(['obozevalec', 'zaljubiti', 'seksi', 'ljubezen', 'pevka',
       'obozevalka', 'zmenek', 'obozevati', 'instagram', 'zaljubljen'],
      dtype='<U14'), array(['donald', 'trump', 'republikanec', 'republikanski', 'demokratski',
       'trumpov', 'drzavljanski', 'biden', 'zlocin', 'demokrat'],
      dtype='<U14'), array(['poostriti', 'posvariti', 'bruselj', 'ozdraveti', 'unija', 'fonet',
       'okuzba', 'hubei', 'wuhan', 'ecdec'], dtype='<U14')]",1.0,0.10340585940587678,-4.565586701261539,2
NMF,8,"[['občina', 'ura', 'javen', 'mesten', 'številka', 'center', 'občinski', 'čas', 'občan', 'ukrep'], ['nov', 'koronavirus', 'država', 'potrditi', 'pandemija', 'okužba', 'evropski', 'ukrep', 'svet', 'vlada'], ['tekma', 'sezona', 'liga', 'imeti', 'ekipa', 'slovenski', 'klub', 'točka', 'mesto', 'igrati'], ['okužba', 'covid', 'človek', 'bolnik', 'število', 'koronavirus', 'okužen', 'ukrep', 'zdravstven', 'bolnišnica'], ['Slovenija', 'slovenski', 'delo', 'zakon', 'Ljubljana', 'vlada', 'ukrep', 'država', 'predlog', 'javen'], ['imeti', 'vlada', 'stranka', 'predsednik', 'iti', 'država', 'človek', 'političen', 'volitev', 'medij'], ['imeti', 'čas', 'otrok', 'človek', 'življenje', 'delo', 'zato', 'iti', 'ljubezen', 'nov'], ['evro', 'odstotek', 'milijon', 'podjetje', 'družba', 'cena', 'milijarda', 'lani', 'odstoten', 'Ljubljana']]",0.75,0.08949892172645611,-1.4048798902405788,2
LDA,8,"[['slovenski', 'Slovenija', 'film', 'Ljubljana', 'delo', 'dogodek', 'knjiga', 'svet', 'kultura', 'nagrada'], ['nov', 'ukrep', 'koronavirus', 'okužba', 'Slovenija', 'covid', 'država', 'epidemija', 'število', 'človek'], ['evro', 'podjetje', 'odstotek', 'milijon', 'nov', 'projekt', 'spleten', 'družba', 'cena', 'sistem'], ['šola', 'dirka', 'mesto', 'otrok', 'kolesar', 'učenec', 'svetoven', 'etapa', 'šolski', 'razred'], ['država', 'predsednik', 'vlada', 'evropski', 'stranka', 'Slovenija', 'minister', 'nov', 'dejati', 'sodišče'], ['občina', 'vozilo', 'policist', 'območje', 'ura', 'cesta', 'nesreča', 'Ljubljana', 'promet', 'mesto'], ['tekma', 'sezona', 'liga', 'klub', 'ekipa', 'slovenski', 'točka', 'igralec', 'igra', 'igrati'], ['imeti', 'čas', 'človek', 'iti', 'zato', 'življenje', 'otrok', 'vedeti', 'videti', 'povedati']]",0.875,0.07691586806604808,-1.6448642708968935,2
BERTopic,8,"[['imeti', 'nov', 'slovenija', 'čas', 'slovenski', 'človek', 'država', 'vlada', 'delo', 'iti'], ['tekma', 'točka', 'sezona', 'liga', 'zmaga', 'ekipa', 'minuta', 'mesto', 'imeti', 'pokal'], ['policist', 'vozilo', 'cesta', 'voznik', 'požar', 'ura', 'nesreča', 'prometen', 'policijski', 'dejanje'], ['okužba', 'nov', 'koronavirus', 'kitajski', 'država', 'človek', 'število', 'potrditi', 'umreti', 'ukrep'], ['okužba', 'nov', 'bolnik', 'covid', 'dom', 'okužen', 'bolnišnica', 'koronavirus', 'hrvaški', 'potrditi'], ['maska', 'ukrep', 'slovenija', 'vlada', 'zakon', 'država', 'delo', 'evro', 'delavec', 'javen'], ['film', 'filmski', 'imeti', 'meghan', 'življenje', 'igralec', 'vloga', 'družina', 'festival', 'harry'], ['evropski', 'država', 'komisija', 'članica', 'dogovor', 'unija', 'bruselj', 'turčija', 'britanski', 'nov']]",0.8,0.08618179329268595,-2.0550488787876393,2
