model_name,top_n_words,topic_representations,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
top2vec,5,"[array(['branilec', 'zadetek', 'soigralec', 'derbi', 'nogometas'],
      dtype='<U15'), array(['sds', 'lms', 'smc', 'koalicijski', 'koalicija'], dtype='<U15'), array(['bolnik', 'bolnisnicen', 'obolel', 'pacient', 'hospitaliziran'],
      dtype='<U15'), array(['seksi', 'prijateljica', 'ljubezen', 'ljubezenski', 'zaljubiti'],
      dtype='<U15'), array(['smrten', 'okuziti', 'trump', 'johns', 'okuzba'], dtype='<U15'), array(['obresten', 'likvidnost', 'bruto', 'medletno', 'rast'],
      dtype='<U15'), array(['policist', 'kazniv', 'osumljenec', 'storilec', 'osumljen'],
      dtype='<U15'), array(['padavina', 'vremenoslovec', 'veter', 'burja', 'nizina'],
      dtype='<U15'), array(['bruselj', 'unija', 'zaveznica', 'miroven', 'borrell'],
      dtype='<U15'), array(['gradnja', 'kanalizacijski', 'izgradnja', 'odsek', 'direkcija'],
      dtype='<U15'), array(['literaren', 'teoloski', 'pisatelj', 'zgodovinar', 'slovenstvo'],
      dtype='<U15'), array(['dirka', 'karavana', 'stopnicka', 'sprint', 'etapen'], dtype='<U15'), array(['vmesnik', 'android', 'pameten', 'windows', 'googlov'],
      dtype='<U15'), array(['odlok', 'razkuzevanje', 'ponujanje', 'razkuzilo', 'upostevanje'],
      dtype='<U15'), array(['glasben', 'priredba', 'obcinstvo', 'glasba', 'glasbenik'],
      dtype='<U15')]",1.0,0.18319499718642657,-3.3822050267197903,2
NMF,5,"[['Slovenija', 'slovenski', 'država', 'blago', 'polje'], ['imeti', 'človek', 'čas', 'iti', 'vedeti'], ['ljubezen', 'čas', 'zdravje', 'služba', 'zato'], ['tekma', 'sezona', 'liga', 'ekipa', 'imeti'], ['občina', 'javen', 'ukrep', 'mesten', 'prostor'], ['ura', 'številka', 'občina', 'telefonski', 'zaprt'], ['Ljubljana', 'Nbsp', 'Slovenija', 'slovenski', 'minister'], ['podjetje', 'imeti', 'nov', 'delo', 'družba'], ['odstotek', 'evro', 'milijon', 'cena', 'milijarda'], ['delo', 'delavec', 'zakon', 'delodajalec', 'plača'], ['vlada', 'država', 'predsednik', 'stranka', 'ukrep'], ['okužba', 'covid', 'bolnik', 'število', 'zdravstven'], ['nov', 'koronavirus', 'država', 'okužba', 'človek'], ['otrok', 'šola', 'starš', 'učenec', 'vrtec'], ['policist', 'policija', 'sodišče', 'vozilo', 'dejanje']]",0.8266666666666667,0.1495250603643545,-1.5352585586464338,2
LDA,5,"[['film', 'knjiga', 'nagrada', 'nov', 'festival'], ['Slovenija', 'delo', 'javen', 'ministrstvo', 'zakon'], ['hrana', 'prostor', 'voda', 'stanovanje', 'trgovina'], ['dirka', 'mesto', 'kolesar', 'etapa', 'svetoven'], ['država', 'evropski', 'ZDA', 'ameriški', 'nov'], ['občina', 'cesta', 'območje', 'nov', 'ura'], ['tekma', 'sezona', 'liga', 'klub', 'ekipa'], ['imeti', 'čas', 'človek', 'iti', 'zato'], ['vlada', 'predsednik', 'stranka', 'političen', 'volitev'], ['policist', 'policija', 'vozilo', 'nesreča', 'policijski'], ['spleten', 'podjetje', 'nov', 'sistem', 'uporabnik'], ['nov', 'okužba', 'koronavirus', 'ukrep', 'covid'], ['evro', 'odstotek', 'milijon', 'podjetje', 'cena'], ['otrok', 'šola', 'starš', 'družina', 'cerkev'], ['slovenski', 'Slovenija', 'Ljubljana', 'dogodek', 'društvo']]",0.92,0.13404897333275698,-1.4857691423828643,2
BERTopic,5,"[['imeti', 'nov', 'slovenija', 'čas', 'slovenski'], ['tekma', 'točka', 'liga', 'sezona', 'zmaga'], ['policist', 'vozilo', 'cesta', 'voznik', 'požar'], ['okužba', 'bolnik', 'nov', 'covid', 'dom'], ['maska', 'ukrep', 'slovenija', 'vlada', 'zakon'], ['film', 'filmski', 'imeti', 'meghan', 'harry'], ['evropski', 'država', 'komisija', 'članica', 'dogovor'], ['kitajski', 'okužba', 'nov', 'koronavirus', 'človek'], ['dirka', 'etapa', 'kolesar', 'roglič', 'pogačar'], ['ljubezen', 'imeti', 'življenje', 'partner', 'odnos'], ['okužba', 'koronavirus', 'država', 'nov', 'število'], ['stranka', 'desus', 'vlada', 'koalicija', 'poslanec'], ['glasba', 'glasben', 'pesem', 'koncert', 'album'], ['avtomobil', 'vozilo', 'električen', 'motor', 'model'], ['oblačen', 'pretežno', 'temperatura', 'veter', 'stopinja']]",0.84,0.1993418255752348,-1.907596491536283,2
top2vec,5,"[array(['seksi', 'obozevati', 'zmenek', 'partnerjev', 'ljubezen'],
      dtype='<U15'), array(['sds', 'smc', 'lms', 'koalicijski', 'jansev'], dtype='<U15'), array(['donald', 'trump', 'republikanec', 'trumpov', 'biden'],
      dtype='<U15'), array(['bolnik', 'bolnisnicen', 'pacient', 'obolel', 'infekcijski'],
      dtype='<U15'), array(['padavina', 'arso', 'vodotok', 'ars', 'meteoren'], dtype='<U15'), array(['obresten', 'bruto', 'likvidnost', 'rast', 'kreditiranje'],
      dtype='<U15'), array(['karavana', 'dirka', 'stopnicka', 'sprint', 'tour'], dtype='<U15'), array(['teoloski', 'literaren', 'pisatelj', 'duhoven', 'slovenstvo'],
      dtype='<U15'), array(['nogometas', 'vezist', 'zabiti', 'zadetek', 'branilec'],
      dtype='<U15'), array(['kazniv', 'policist', 'osumljenec', 'povzrocitev', 'osumljen'],
      dtype='<U15'), array(['okuzba', 'okuziti', 'smrten', 'koronavirus', 'ozdraveti'],
      dtype='<U15'), array(['vmesnik', 'android', 'zmogljiv', 'pameten', 'omrezen'],
      dtype='<U15'), array(['priredba', 'glasben', 'glasba', 'skladba', 'reziser'],
      dtype='<U15'), array(['odlok', 'prehajanje', 'razkuzevanje', 'omejitev', 'nijz'],
      dtype='<U15'), array(['koncnica', 'kosarkar', 'soigralec', 'podaja', 'clippers'],
      dtype='<U15')]",1.0,0.20220308665216066,-2.6773259438583255,3
NMF,5,"[['sodišče', 'ljubezen', 'piškotek', 'spleten', 'služba'], ['ukrep', 'epidemija', 'delo', 'čas', 'zakon'], ['Slovenija', 'delo', 'delavec', 'delodajalec', 'plača'], ['imeti', 'čas', 'iti', 'zato', 'vedeti'], ['otrok', 'človek', 'imeti', 'življenje', 'družina'], ['vlada', 'stranka', 'predsednik', 'Janša', 'Slovenija'], ['odstotek', 'evro', 'podjetje', 'milijon', 'cena'], ['nov', 'okužba', 'koronavirus', 'število', 'covid'], ['občina', 'ura', 'javen', 'mesten', 'številka'], ['šola', 'otrok', 'učenec', 'vrtec', 'šolski'], ['država', 'blago', 'evropski', 'ZDA', 'ameriški'], ['tekma', 'liga', 'sezona', 'klub', 'ekipa'], ['slovenski', 'svet', 'človek', 'nov', 'čas'], ['mesto', 'vozilo', 'policist', 'voznik', 'policija'], ['Ljubljana', 'Slovenija', 'slovenski', 'Nbsp', 'minister']]",0.8666666666666667,0.12593413395789954,-1.6425058969513917,3
LDA,5,"[['tekma', 'minuta', 'točka', 'zmaga', 'liga'], ['imeti', 'čas', 'človek', 'zato', 'iti'], ['vlada', 'predsednik', 'Slovenija', 'stranka', 'minister'], ['evro', 'odstotek', 'milijon', 'podjetje', 'družba'], ['slovenski', 'medij', 'človek', 'zapisati', 'pravica'], ['slovenski', 'film', 'Ljubljana', 'nov', 'knjiga'], ['država', 'nov', 'hrvaški', 'ameriški', 'ZDA'], ['ukrep', 'delo', 'javen', 'Slovenija', 'čas'], ['sezona', 'klub', 'liga', 'ekipa', 'dirka'], ['policist', 'policija', 'sodišče', 'policijski', 'dejanje'], ['okužba', 'nov', 'koronavirus', 'covid', 'zdravstven'], ['vozilo', 'ura', 'občina', 'cesta', 'nesreča'], ['otrok', 'ženska', 'družina', 'moški', 'cerkev'], ['igra', 'mesto', 'svetoven', 'slovenski', 'tekma'], ['spleten', 'nov', 'podjetje', 'sistem', 'razvoj']]",0.8533333333333334,0.09980800164700288,-1.507141410056709,3
BERTopic,5,"[['imeti', 'nov', 'slovenija', 'čas', 'država'], ['tekma', 'sezona', 'liga', 'turnir', 'klub'], ['okužba', 'nov', 'koronavirus', 'kitajski', 'država'], ['maska', 'ukrep', 'vlada', 'slovenija', 'odlok'], ['film', 'filmski', 'imeti', 'meghan', 'igralec'], ['okužba', 'bolnik', 'nov', 'bolnišnica', 'covid'], ['ljubezen', 'življenje', 'imeti', 'partner', 'odnos'], ['trump', 'biden', 'volitev', 'zda', 'predsednik'], ['vozilo', 'voznik', 'cesta', 'nesreča', 'policist'], ['glasben', 'glasba', 'koncert', 'pesem', 'album'], ['oblačen', 'pretežno', 'temperatura', 'stopinja', 'veter'], ['dirka', 'etapa', 'kolesar', 'roglič', 'pogačar'], ['policist', 'dejanje', 'kazniv', 'policijski', 'policija'], ['evropski', 'članica', 'britanski', 'komisija', 'dogovor'], ['cerkev', 'svet', 'papež', 'vernik', 'bog']]",0.8933333333333333,0.18738751330862424,-2.43915263333484,3
top2vec,8,"[array(['branilec', 'zadetek', 'derbi', 'soigralec', 'tekma', 'odigrati',
       'kapetan', 'zabiti'], dtype='<U15'), array(['jansev', 'sds', 'smc', 'koalicijski', 'levica', 'koalicija',
       'desus', 'jans'], dtype='<U15'), array(['ljubezen', 'ljubiti', 'seksi', 'zaljubiti', 'prijateljica',
       'srecen', 'ljubezenski', 'partnerjev'], dtype='<U15'), array(['donald', 'trump', 'trumpov', 'biden', 'republikanec', 'bidnov',
       'washington', 'republikanski'], dtype='<U15'), array(['bolnik', 'beovicev', 'dihalo', 'bolnisnicen', 'infektologinja',
       'pacient', 'nijz', 'obolenje'], dtype='<U15'), array(['bruto', 'obresten', 'likvidnost', 'potrosnja', 'rast',
       'makroekonomski', 'medletno', 'kreditiranje'], dtype='<U15'), array(['padavina', 'suh', 'vremenoslovec', 'veter', 'vlazen', 'vremenski',
       'nizina', 'sneziti'], dtype='<U15'), array(['osumljenec', 'kazniv', 'policist', 'osumljen', 'storilec',
       'povzrocitev', 'pridrzati', 'prostost'], dtype='<U15'), array(['dirka', 'karavana', 'stopnicka', 'sprint', 'roglic', 'etapen',
       'kronometer', 'start'], dtype='<U15'), array(['gradnja', 'izgradnja', 'kanalizacijski', 'direkcija',
       'kanalizacija', 'gradben', 'novogradnja', 'vodovod'], dtype='<U15'), array(['umetnost', 'likoven', 'literaren', 'razstava', 'slikarstvo',
       'ustvarjalnost', 'ustvarjalen', 'umetnosten'], dtype='<U15'), array(['okuzba', 'ozdraveti', 'koronavirus', 'okuziti', 'smrten',
       'narascanje', 'zajezitev', 'okuzen'], dtype='<U15'), array(['priredba', 'glasben', 'glasba', 'skladba', 'glasbenik', 'reziser',
       'obcinstvo', 'rezirati'], dtype='<U15'), array(['vmesnik', 'android', 'zmogljiv', 'bluetooth', 'zaslon',
       'snapdragon', 'samodejen', 'pomnilnik'], dtype='<U15'), array(['ucenec', 'pouk', 'ravnatelj', 'solski', 'ravnateljica', 'dijak',
       'sola', 'vzgojno'], dtype='<U15')]",1.0,0.16652006625588195,-3.2843712448017004,1
NMF,8,"[['odstotek', 'evro', 'milijon', 'podjetje', 'milijarda', 'cena', 'država', 'odstoten'], ['občina', 'ura', 'javen', 'mesten', 'številka', 'občinski', 'center', 'občan'], ['imeti', 'človek', 'iti', 'vedeti', 'priti', 'reči', 'videti', 'čas'], ['vlada', 'stranka', 'predsednik', 'Janša', 'poslanec', 'volitev', 'minister', 'političen'], ['Ljubljana', 'Slovenija', 'slovenski', 'Nbsp', 'minister', 'evropski', 'predsednik', 'mednaroden'], ['nov', 'koronavirus', 'blago', 'ura', 'mesto', 'polje', 'potrditi', 'umreti'], ['človek', 'država', 'slovenski', 'svet', 'policija', 'življenje', 'ameriški', 'vojna'], ['vozilo', 'spleten', 'podatek', 'voznik', 'avtomobil', 'piškotek', 'uporabnik', 'policist'], ['okužba', 'koronavirus', 'covid', 'število', 'nov', 'ukrep', 'človek', 'bolnik'], ['liga', 'klub', 'sezona', 'tekma', 'prvak', 'evropski', 'igralec', 'igrati'], ['ukrep', 'Slovenija', 'zakon', 'država', 'javen', 'vlada', 'epidemija', 'blago'], ['tekma', 'točka', 'mesto', 'slovenski', 'zmaga', 'minuta', 'konec', 'ekipa'], ['župnija', 'služba', 'ljubezen', 'župnik', 'imenovan', 'Ljubljana', 'zdravje', 'razrešen'], ['delo', 'otrok', 'dom', 'šola', 'čas', 'delavec', 'zaposlen', 'deloven'], ['čas', 'podjetje', 'ljubezen', 'zato', 'življenje', 'svet', 'pomemben', 'projekt']]",0.7833333333333333,0.10100217699819238,-1.8198027443397329,1
LDA,8,"[['okužba', 'nov', 'koronavirus', 'covid', 'število', 'zdravstven', 'okužen', 'človek'], ['evro', 'odstotek', 'podjetje', 'milijon', 'družba', 'Slovenija', 'sredstvo', 'država'], ['tekma', 'liga', 'klub', 'sezona', 'točka', 'minuta', 'igrati', 'igralec'], ['ukrep', 'država', 'hrvaški', 'maska', 'Slovenija', 'nov', 'meja', 'vlada'], ['vozilo', 'cesta', 'območje', 'ura', 'nesreča', 'voznik', 'policist', 'kraj'], ['izdelek', 'sistem', 'nov', 'imeti', 'hrana', 'model', 'razvoj', 'uporaba'], ['imeti', 'čas', 'človek', 'zato', 'iti', 'življenje', 'vedeti', 'videti'], ['ameriški', 'ZDA', 'država', 'kitajski', 'predsednik', 'Trump', 'agencija', 'poročati'], ['slovenski', 'film', 'Slovenija', 'knjiga', 'nagrada', 'Ljubljana', 'dogodek', 'nov'], ['ženska', 'otrok', 'moški', 'družina', 'oče', 'leten', 'znan', 'fotografija'], ['občina', 'delo', 'šola', 'dom', 'otrok', 'javen', 'Ljubljana', 'zaposlen'], ['vlada', 'Slovenija', 'predsednik', 'stranka', 'minister', 'zakon', 'predlog', 'slovenski'], ['sezona', 'mesto', 'svetoven', 'slovenski', 'dirka', 'ekipa', 'tekmovanje', 'športen'], ['policija', 'evropski', 'sodišče', 'država', 'policist', 'dejanje', 'napad', 'protest'], ['spleten', 'uporabnik', 'aplikacija', 'telefon', 'omrežje', 'podatek', 'naprava', 'pameten']]",0.8416666666666667,0.10487839098126597,-1.5443147785693112,1
