model_name,num_topics,topic_representations,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
top2vec,5,"[array(['policija', 'politicen', 'vlada', 'policist', 'oblast',
       'preiskava', 'kazniv', 'policijski', 'opozicijski', 'dejanje'],
      dtype='<U14'), array(['podjetje', 'posloven', 'kupec', 'strosek', 'evro', 'podrocje',
       'tehnologija', 'cena', 'storitev', 'poslovanje'], dtype='<U14'), array(['zgodba', 'zivljenje', 'ljubezen', 'nauciti', 'cudovit',
       'prijatelj', 'misel', 'veselje', 'videti', 'smeh'], dtype='<U14'), array(['tekma', 'prvenstvo', 'liga', 'trener', 'prvak', 'finale',
       'sezona', 'reprezentant', 'tekmec', 'igrati'], dtype='<U14'), array(['okuzba', 'okuzen', 'bolnik', 'covid', 'stevilo', 'virus',
       'koronavirus', 'sirjenje', 'potrjen', 'obolel'], dtype='<U14')]",1.0,0.13203554598442885,-1.83266183283164,1
NMF,5,"[['Ljubljana', 'Nbsp', 'Slovenija', 'slovenski', 'nov', 'tekma', 'sezona', 'ura', 'podjetje', 'delo'], ['Slovenija', 'vlada', 'evro', 'država', 'imeti', 'pogodba', 'zavod', 'oprema', 'podjetje', 'slovenski'], ['občina', 'zaprt', 'ura', 'nadaljnji', 'javen', 'center', 'mesten', 'številka', 'občinski', 'uraden'], ['nov', 'okužba', 'koronavirus', 'ukrep', 'človek', 'covid', 'število', 'država', 'potrditi', 'bolnik'], ['imeti', 'čas', 'človek', 'zato', 'otrok', 'iti', 'življenje', 'vedeti', 'priti', 'pomemben']]",0.84,0.07116375923920243,-1.5918624617751542,1
LDA,5,"[['tekma', 'sezona', 'imeti', 'nov', 'liga', 'ekipa', 'mesto', 'slovenski', 'klub', 'točka'], ['policist', 'policija', 'ameriški', 'predsednik', 'ZDA', 'Trump', 'volitev', 'država', 'sodišče', 'policijski'], ['nov', 'okužba', 'koronavirus', 'ukrep', 'človek', 'imeti', 'ura', 'Slovenija', 'občina', 'država'], ['Slovenija', 'vlada', 'evro', 'država', 'podjetje', 'nov', 'evropski', 'slovenski', 'odstotek', 'predsednik'], ['imeti', 'čas', 'človek', 'življenje', 'zato', 'svet', 'iti', 'otrok', 'nov', 'vedeti']]",0.78,0.051432988271921554,-1.3944656271035871,1
BERTopic,5,"[['imeti', 'nov', 'slovenija', 'čas', 'slovenski', 'delo', 'država', 'človek', 'vlada', 'evro'], ['tekma', 'točka', 'sezona', 'liga', 'ekipa', 'zmaga', 'klub', 'minuta', 'mesto', 'trener'], ['okužba', 'nov', 'koronavirus', 'država', 'človek', 'število', 'potrditi', 'umreti', 'covid', 'okužen'], ['liga', 'igralec', 'tekma', 'klub', 'nogometen', 'koronavirus', 'prvenstvo', 'turnir', 'zveza', 'tekmovanje'], ['film', 'imeti', 'življenje', 'vloga', 'igralka', 'filmski', 'igralec', 'oddaja', 'baleten', 'zgodba']]",0.82,0.08906391906421313,-2.498141003076576,1
top2vec,5,"[array(['okuzba', 'sirjenje', 'okuzen', 'bolnik', 'stevilo', 'obolel',
       'ukrep', 'bolnisnica', 'zapreti', 'pristojen'], dtype='<U13'), array(['zivljenje', 'ljubezen', 'zgodba', 'prijatelj', 'misel', 'videti',
       'veselje', 'pesem', 'znati', 'obcutek'], dtype='<U13'), array(['politicen', 'vlada', 'predsednik', 'volitev', 'politika',
       'demokraticen', 'demokracija', 'demokrat', 'parlament',
       'parlamentaren'], dtype='<U13'), array(['podjetje', 'rast', 'evro', 'poslovanje', 'posloven', 'kupec',
       'prihodek', 'razvoj', 'tehnologija', 'povprasevanje'], dtype='<U13'), array(['tekma', 'prvenstvo', 'sezona', 'trener', 'liga', 'reprezentant',
       'zmaga', 'finale', 'ugnati', 'branilec'], dtype='<U13')]",1.0,0.10475650195528834,-1.9681762620061527,2
NMF,5,"[['delo', 'podjetje', 'evro', 'odstotek', 'ukrep', 'zaposlen', 'javen', 'deloven', 'zakon', 'milijon'], ['občina', 'zaprt', 'ura', 'nadaljnji', 'center', 'mesten', 'javen', 'številka', 'uraden', 'pošta'], ['imeti', 'človek', 'čas', 'zato', 'otrok', 'iti', 'življenje', 'pogodba', 'zavod', 'povedati'], ['Slovenija', 'slovenski', 'vlada', 'predsednik', 'imeti', 'tekma', 'Ljubljana', 'evropski', 'država', 'stranka'], ['nov', 'okužba', 'koronavirus', 'Ljubljana', 'ukrep', 'covid', 'država', 'število', 'človek', 'potrditi']]",0.88,0.06999843744966787,-1.631499146151653,2
LDA,5,"[['tekma', 'imeti', 'sezona', 'liga', 'ekipa', 'mesto', 'klub', 'slovenski', 'nov', 'igralec'], ['imeti', 'čas', 'nov', 'delo', 'človek', 'zato', 'otrok', 'dom', 'življenje', 'iti'], ['nov', 'evro', 'ukrep', 'država', 'Slovenija', 'koronavirus', 'okužba', 'odstotek', 'milijon', 'covid'], ['vlada', 'predsednik', 'država', 'Slovenija', 'imeti', 'stranka', 'slovenski', 'minister', 'čas', 'zakon'], ['policist', 'policija', 'vozilo', 'območje', 'nesreča', 'ura', 'policijski', 'leten', 'voznik', 'cesta']]",0.84,0.0791391162974016,-1.356315641233494,2
BERTopic,5,"[['imeti', 'nov', 'slovenija', 'čas', 'država', 'delo', 'človek', 'vlada', 'slovenski', 'ukrep'], ['okužba', 'nov', 'bolnik', 'koronavirus', 'bolnišnica', 'covid', 'okužen', 'hrvaški', 'slovenija', 'število'], ['policist', 'policijski', 'policija', 'voznik', 'nesreča', 'vozilo', 'prometen', 'dejanje', 'uprava', 'vožnja'], ['nov', 'koronavirus', 'okužba', 'država', 'človek', 'število', 'potrditi', 'umreti', 'covid', 'okužen'], ['film', 'imeti', 'oddaja', 'življenje', 'igralka', 'vloga', 'igralec', 'zgodba', 'povedati', 'čas']]",0.76,0.10637069333382736,-2.9245797492034646,2
top2vec,5,"[array(['clovek', 'zato', 'virus', 'ziveti', 'politicen', 'cas', 'drzava',
       'sirjenje', 'stik', 'zivljenje'], dtype='<U13'), array(['tekma', 'prvenstvo', 'liga', 'trener', 'prvak', 'tekmec',
       'sezona', 'odigrati', 'reprezentant', 'osvojiti'], dtype='<U13')]",1.0,0.016360698772864446,-7.123528456117016,3
NMF,5,"[['Slovenija', 'Ljubljana', 'vlada', 'slovenski', 'evro', 'predsednik', 'država', 'evropski', 'minister', 'odstotek'], ['tekma', 'imeti', 'sezona', 'liga', 'ekipa', 'mesto', 'slovenski', 'klub', 'točka', 'zmaga'], ['imeti', 'delo', 'čas', 'podjetje', 'človek', 'zato', 'otrok', 'iti', 'življenje', 'zaposlen'], ['občina', 'ura', 'zaprt', 'nadaljnji', 'center', 'mesten', 'javen', 'številka', 'uraden', 'pošta'], ['nov', 'okužba', 'koronavirus', 'človek', 'ukrep', 'država', 'covid', 'število', 'bolnik', 'okužen']]",0.92,0.09644374821838433,-1.552924436490954,3
LDA,5,"[['ura', 'mačka', 'voda', 'rastlina', 'olje', 'območje', 'jed', 'meso', 'vino', 'planinski'], ['policist', 'vozilo', 'ameriški', 'mesto', 'cesta', 'policija', 'ZDA', 'ura', 'Trump', 'poročati'], ['tekma', 'predsednik', 'slovenski', 'imeti', 'vlada', 'Slovenija', 'nov', 'sezona', 'liga', 'stranka'], ['nov', 'ukrep', 'Slovenija', 'država', 'okužba', 'koronavirus', 'imeti', 'evro', 'podjetje', 'delo'], ['imeti', 'čas', 'človek', 'življenje', 'nov', 'zato', 'otrok', 'svet', 'iti', 'delo']]",0.86,-0.031217316627429253,-2.325148621694053,3
BERTopic,5,"[['imeti', 'nov', 'slovenija', 'čas', 'delo', 'človek', 'slovenski', 'država', 'vlada', 'ukrep'], ['nov', 'okužba', 'država', 'koronavirus', 'človek', 'število', 'potrditi', 'umreti', 'covid', 'ukrep'], ['okužba', 'bolnik', 'nov', 'bolnišnica', 'koronavirus', 'covid', 'okužen', 'zdravstven', 'število', 'dom'], ['liga', 'tekma', 'igralec', 'klub', 'prvenstvo', 'nogometen', 'turnir', 'koronavirus', 'sezona', 'nogometaš'], ['trump', 'zda', 'biden', 'predsednik', 'ameriški', 'volitev', 'trumpov', 'donald', 'država', 'glas']]",0.78,0.1342401007920741,-1.955199936228397,3
top2vec,8,"[array(['tekma', 'prvenstvo', 'trener', 'liga', 'sezona', 'prvak',
       'tekmec', 'pokal', 'reprezentant', 'odigrati'], dtype='<U14'), array(['zgodba', 'pesem', 'glasben', 'prijatelj', 'zivljenje', 'reziser',
       'glasba', 'glasbenik', 'oce', 'lik'], dtype='<U14'), array(['okuzba', 'okuzen', 'bolnik', 'covid', 'koronavirus', 'potrjen',
       'virus', 'stevilo', 'hospitaliziran', 'zarisce'], dtype='<U14'), array(['politicen', 'sds', 'stalisce', 'poslanec', 'koalicija',
       'politika', 'poslanski', 'desus', 'levica', 'vlada'], dtype='<U14'), array(['cesta', 'prometen', 'voznik', 'obmocje', 'vozilo', 'policist',
       'kraj', 'policijski', 'promet', 'avtocesta'], dtype='<U14'), array(['enostaven', 'pameten', 'uporabljati', 'opaziti', 'nauciti',
       'izdelek', 'tehnologija', 'narediti', 'uporaben', 'preprost'],
      dtype='<U14'), array(['donald', 'trump', 'demokrat', 'trumpov', 'zda', 'biden',
       'volitev', 'ameriski', 'oblast', 'predsedniski'], dtype='<U14'), array(['prihodek', 'evro', 'gospodarstvo', 'posojilo', 'gospodarski',
       'podjetje', 'rast', 'milijarda', 'cetrtletje', 'bruto'],
      dtype='<U14')]",1.0,0.12431711795988183,-2.269849300347934,1
NMF,8,"[['Ljubljana', 'Slovenija', 'slovenski', 'Nbsp', 'nov', 'tekma', 'sezona', 'evropski', 'svetoven', 'liga'], ['občina', 'javen', 'mesten', 'prostor', 'ura', 'center', 'občinski', 'ukrep', 'čas', 'plačilo'], ['pogodba', 'zavod', 'oprema', 'imeti', 'maska', 'ventilator', 'posel', 'zaščiten', 'postopek', 'količina'], ['nov', 'okužba', 'koronavirus', 'človek', 'covid', 'število', 'ukrep', 'država', 'potrditi', 'bolnik'], ['vlada', 'država', 'Slovenija', 'predsednik', 'stranka', 'ukrep', 'evropski', 'slovenski', 'političen', 'minister'], ['zaprt', 'nadaljnji', 'ura', 'dom', 'uraden', 'številka', 'stranka', 'pošta', 'center', 'elektronski'], ['delo', 'podjetje', 'zaposlen', 'odstotek', 'evro', 'imeti', 'deloven', 'nov', 'čas', 'delavec'], ['imeti', 'človek', 'čas', 'otrok', 'zato', 'življenje', 'iti', 'vedeti', 'priti', 'videti']]",0.8,0.08862000621985444,-1.7217306643581067,1
LDA,8,"[['tekma', 'sezona', 'liga', 'imeti', 'ekipa', 'mesto', 'točka', 'klub', 'nov', 'svetoven'], ['predsednik', 'volitev', 'stranka', 'Trump', 'političen', 'medij', 'država', 'nekdanji', 'ZDA', 'vlada'], ['občina', 'ura', 'vozilo', 'cesta', 'območje', 'prostor', 'Ljubljana', 'mesto', 'mesten', 'center'], ['Slovenija', 'evro', 'vlada', 'odstotek', 'evropski', 'podjetje', 'milijon', 'zakon', 'nov', 'Ljubljana'], ['ameriški', 'sodišče', 'poročati', 'ZDA', 'kitajski', 'sodnik', 'kazen', 'letalo', 'agencija', 'svet'], ['nov', 'človek', 'koronavirus', 'imeti', 'okužba', 'država', 'ukrep', 'Slovenija', 'število', 'covid'], ['podjetje', 'spleten', 'uporaba', 'uporabnik', 'tehnologija', 'uporabljati', 'Nbsp', 'aplikacija', 'sistem', 'omrežje'], ['imeti', 'čas', 'življenje', 'svet', 'zato', 'slovenski', 'človek', 'otrok', 'iti', 'delo']]",0.8375,0.06475665322291795,-1.7107162496683417,1
BERTopic,8,"[['imeti', 'nov', 'čas', 'slovenija', 'slovenski', 'delo', 'država', 'človek', 'evro', 'iti'], ['tekma', 'točka', 'sezona', 'liga', 'ekipa', 'zmaga', 'klub', 'minuta', 'trener', 'mesto'], ['okužba', 'koronavirus', 'nov', 'država', 'človek', 'število', 'potrditi', 'umreti', 'covid', 'okužen'], ['liga', 'igralec', 'tekma', 'klub', 'nogometen', 'prvenstvo', 'koronavirus', 'turnir', 'zveza', 'tekmovanje'], ['film', 'imeti', 'življenje', 'vloga', 'igralka', 'filmski', 'igralec', 'oddaja', 'baleten', 'zgodba'], ['policist', 'policija', 'policijski', 'voznik', 'nesreča', 'vozilo', 'prometen', 'vožnja', 'uprava', 'leten'], ['stranka', 'desus', 'koalicija', 'vlada', 'predsednik', 'volitev', 'poslanec', 'smc', 'odstotek', 'poslanski'], ['oblačen', 'pretežno', 'temperatura', 'stopinja', 'celzij', 'nevihta', 'veter', 'jasno', 'padavina', 'jasen']]",0.8875,0.1535385186978753,-2.0624786025735578,1
top2vec,8,"[array(['tekma', 'prvenstvo', 'prvak', 'liga', 'sezona', 'trener',
       'tekmec', 'branilec', 'igrati', 'pokal'], dtype='<U14'), array(['vlada', 'politicen', 'stalisce', 'predlog', 'politika',
       'poslanec', 'zakon', 'koalicija', 'koalicijski', 'sds'],
      dtype='<U14'), array(['okuzba', 'okuzen', 'koronavirus', 'bolnik', 'covid', 'potrjen',
       'sirjenje', 'stevilo', 'virus', 'hospitaliziran'], dtype='<U14'), array(['kupec', 'ponudba', 'podjetje', 'cena', 'evro', 'elektricen',
       'baterija', 'poslovanje', 'proizvajalec', 'dodan'], dtype='<U14'), array(['zivljenje', 'ljubezen', 'poceti', 'videti', 'veselje', 'dusa',
       'prijatelj', 'nauciti', 'vedeti', 'pozabiti'], dtype='<U14'), array(['policist', 'policijski', 'kraj', 'voznik', 'prometen', 'zaseci',
       'kazniv', 'vozilo', 'nesreca', 'policija'], dtype='<U14'), array(['donald', 'trump', 'trumpov', 'demokrat', 'biden', 'volitev',
       'ameriski', 'predsedniski', 'predsednik', 'demokratski'],
      dtype='<U14'), array(['reziser', 'glasben', 'umetniski', 'film', 'glasba', 'ustvarjalec',
       'zgodba', 'festival', 'gledalisce', 'gledaliski'], dtype='<U14')]",1.0,0.17142327558706832,-2.266302398890028,2
NMF,8,"[['pogodba', 'zavod', 'imeti', 'oprema', 'maska', 'čas', 'ventilator', 'povedati', 'posel', 'zaščiten'], ['okužba', 'nov', 'koronavirus', 'covid', 'število', 'človek', 'bolnik', 'potrditi', 'okužen', 'ukrep'], ['imeti', 'otrok', 'nov', 'človek', 'življenje', 'čas', 'zato', 'starš', 'odnos', 'pomemben'], ['vlada', 'Slovenija', 'država', 'ukrep', 'slovenski', 'evropski', 'predsednik', 'stranka', 'minister', 'epidemija'], ['imeti', 'tekma', 'sezona', 'mesto', 'liga', 'ekipa', 'slovenski', 'čas', 'zmaga', 'klub'], ['Ljubljana', 'Nbsp', 'evro', 'odstotek', 'Slovenija', 'nov', 'slovenski', 'milijon', 'podjetje', 'minister'], ['občina', 'zaprt', 'ura', 'nadaljnji', 'center', 'mesten', 'javen', 'številka', 'uraden', 'pošta'], ['delo', 'podjetje', 'zaposlen', 'sporazum', 'nadomestilo', 'deloven', 'javen', 'uporaba', 'občina', 'podatek']]",0.8125,0.08635302157133379,-1.6898945069043352,2
LDA,8,"[['imeti', 'čas', 'življenje', 'vedeti', 'iti', 'človek', 'povedati', 'videti', 'zato', 'ženska'], ['imeti', 'nov', 'delo', 'čas', 'slovenski', 'zato', 'svet', 'pomemben', 'človek', 'otrok'], ['evro', 'odstotek', 'podjetje', 'milijon', 'Slovenija', 'evropski', 'nov', 'država', 'Ljubljana', 'družba'], ['vlada', 'predsednik', 'država', 'Slovenija', 'stranka', 'imeti', 'slovenski', 'sodišče', 'političen', 'volitev'], ['hiša', 'stanovanje', 'poročati', 'napad', 'muzej', 'letalo', 'leten', 'vojna', 'prostor', 'vrt'], ['nov', 'ukrep', 'okužba', 'koronavirus', 'človek', 'država', 'covid', 'število', 'epidemija', 'imeti'], ['tekma', 'sezona', 'liga', 'klub', 'ekipa', 'mesto', 'točka', 'slovenski', 'zmaga', 'svetoven'], ['občina', 'ura', 'voda', 'mesten', 'območje', 'center', 'cesta', 'Maribor', 'župan', 'občinski']]",0.825,0.05330568512782795,-1.5793709827182134,2
BERTopic,8,"[['imeti', 'nov', 'slovenija', 'čas', 'človek', 'država', 'vlada', 'delo', 'slovenski', 'ukrep'], ['okužba', 'nov', 'bolnik', 'bolnišnica', 'koronavirus', 'okužen', 'covid', 'hrvaški', 'slovenija', 'število'], ['policist', 'policijski', 'policija', 'voznik', 'nesreča', 'vozilo', 'prometen', 'dejanje', 'uprava', 'vožnja'], ['koronavirus', 'nov', 'okužba', 'država', 'človek', 'število', 'umreti', 'potrditi', 'covid', 'okužen'], ['film', 'imeti', 'oddaja', 'življenje', 'igralka', 'vloga', 'igralec', 'zgodba', 'povedati', 'čas'], ['delo', 'plača', 'zakon', 'deloven', 'evro', 'ukrep', 'delodajalec', 'epidemija', 'dodatek', 'delavec'], ['evropski', 'komisija', 'unija', 'nbsp', 'bruselj', 'dogovor', 'država', 'članica', 'pogajanje', 'kriza'], ['oblačen', 'pretežno', 'temperatura', 'stopinja', 'celzij', 'nevihta', 'veter', 'jasno', 'padavina', 'jasen']]",0.8125,0.14415679936627804,-2.534630840930733,2
