model_name,num_topics,topic_representations,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
LDA,5,"[['občina', 'nov', 'delo', 'dom', 'podjetje', 'evro', 'šola', 'Ljubljana', 'prostor', 'projekt'], ['tekma', 'sezona', 'liga', 'mesto', 'imeti', 'ekipa', 'zmaga', 'klub', 'točka', 'slovenski'], ['imeti', 'čas', 'človek', 'življenje', 'iti', 'zato', 'otrok', 'nov', 'svet', 'slovenski'], ['nov', 'država', 'vlada', 'Slovenija', 'okužba', 'koronavirus', 'ukrep', 'človek', 'imeti', 'predsednik'], ['policist', 'vozilo', 'policija', 'ura', 'avtomobil', 'cesta', 'nesreča', 'območje', 'policijski', 'voznik']]",0.88,0.07855948856432836,-1.3410192139489843,3
BERTopic,5,"[['imeti', 'nov', 'slovenija', 'čas', 'država', 'človek', 'slovenski', 'vlada', 'delo', 'ukrep'], ['nov', 'država', 'okužba', 'koronavirus', 'človek', 'trump', 'kitajski', 'odstotek', 'zda', 'število'], ['policist', 'nesreča', 'vozilo', 'voznik', 'policijski', 'požar', 'gasilec', 'območje', 'prometen', 'policija'], ['okužba', 'bolnik', 'nov', 'covid', 'bolnišnica', 'okužen', 'koronavirus', 'potrditi', 'dom', 'število'], ['film', 'filmski', 'imeti', 'festival', 'nov', 'kraljev', 'fotografija', 'čas', 'instagram', 'meghan']]",0.8,0.08435851350487782,-2.5598802791718027,3
top2vec,8,"[array(['tekma', 'branilec', 'trener', 'kapetan', 'soigralec', 'prvenstvo',
       'zadetek', 'reprezentancen', 'mostvo', 'reprezentant'],
      dtype='<U15'), array(['donosnost', 'avtomatizacija', 'poslovanje', 'xiaomi',
       'investicija', 'prodajen', 'donos', 'likvidnost', 'hpe',
       'povprasevanje'], dtype='<U15'), array(['obolel', 'okuzba', 'bolnik', 'okuzen', 'hospitaliziran', 'covid',
       'bolnisnicen', 'okuziti', 'epidemiolog', 'sirjenje'], dtype='<U15'), array(['policist', 'vozisce', 'policijski', 'kraj', 'voznica',
       'pridrzati', 'resevalec', 'ocividec', 'nesreca', 'osumljenec'],
      dtype='<U15'), array(['sds', 'smc', 'jansa', 'jansev', 'koalicija', 'lms', 'sarec',
       'desus', 'koalicijski', 'sab'], dtype='<U15'), array(['ljubezen', 'prijateljica', 'seksi', 'obozevati', 'zvezdnica',
       'obozevalec', 'seks', 'ljubljen', 'zaljubljen', 'zmenek'],
      dtype='<U15'), array(['umetniski', 'opus', 'literaren', 'glasben', 'ustvarjalec',
       'glasba', 'glasbeno', 'priredba', 'umetnost', 'zanr'], dtype='<U15'), array(['donald', 'trump', 'trumpov', 'biden', 'republikanski', 'demokrat',
       'demokratski', 'voditelj', 'bidnov', 'republikanec'], dtype='<U15')]",1.0,0.07969356293467669,-5.462497050554449,1
NMF,8,"[['tekma', 'slovenski', 'sezona', 'liga', 'mesto', 'nov', 'ekipa', 'imeti', 'Slovenija', 'točka'], ['občina', 'ura', 'javen', 'zaprt', 'mesten', 'številka', 'nadaljnji', 'center', 'občinski', 'pošta'], ['imeti', 'oprema', 'maska', 'zavod', 'zaščiten', 'evro', 'ministrstvo', 'zdravstven', 'pogodba', 'podjetje'], ['nov', 'okužba', 'koronavirus', 'človek', 'covid', 'število', 'država', 'potrditi', 'ukrep', 'okužen'], ['vlada', 'Slovenija', 'država', 'predsednik', 'stranka', 'slovenski', 'evropski', 'minister', 'ukrep', 'Janša'], ['Nbsp', 'Ljubljana', 'Slovenija', 'slovenski', 'zveza', 'svetoven', 'postati', 'minister', 'predlog', 'mednaroden'], ['odstotek', 'delo', 'evro', 'podjetje', 'dohodnina', 'Slovenija', 'deloven', 'delavec', 'plača', 'milijon'], ['imeti', 'človek', 'čas', 'otrok', 'iti', 'življenje', 'zato', 'vedeti', 'priti', 'svet']]",0.825,0.08588025511573313,-1.5698996326455679,1
LDA,8,"[['tekma', 'sezona', 'liga', 'ekipa', 'mesto', 'točka', 'klub', 'zmaga', 'imeti', 'slovenski'], ['evro', 'podjetje', 'odstotek', 'milijon', 'nov', 'družba', 'cena', 'Slovenija', 'spleten', 'podatek'], ['policist', 'policija', 'vozilo', 'nesreča', 'dejanje', 'policijski', 'leten', 'voznik', 'ura', 'napad'], ['vlada', 'predsednik', 'Slovenija', 'država', 'stranka', 'minister', 'evropski', 'slovenski', 'predlog', 'zakon'], ['slovenski', 'Slovenija', 'film', 'Ljubljana', 'nov', 'projekt', 'nagrada', 'dogodek', 'svet', 'delo'], ['občina', 'delo', 'ukrep', 'dom', 'javen', 'nov', 'Ljubljana', 'zaposlen', 'Slovenija', 'zdravstven'], ['imeti', 'čas', 'človek', 'zato', 'iti', 'življenje', 'otrok', 'vedeti', 'videti', 'povedati'], ['nov', 'koronavirus', 'okužba', 'država', 'človek', 'covid', 'število', 'potrditi', 'ukrep', 'ZDA']]",0.825,0.08113519866742847,-1.3992229851473887,1
BERTopic,8,"[['imeti', 'nov', 'slovenija', 'čas', 'država', 'človek', 'vlada', 'slovenski', 'delo', 'ukrep'], ['policist', 'vozilo', 'nesreča', 'voznik', 'policijski', 'požar', 'območje', 'gasilec', 'prometen', 'ura'], ['film', 'filmski', 'festival', 'imeti', 'življenje', 'kraljev', 'nov', 'meghan', 'režiser', 'vloga'], ['okužba', 'bolnik', 'nov', 'bolnišnica', 'covid', 'okužen', 'dom', 'zdravstven', 'koronavirus', 'število'], ['okužba', 'nov', 'koronavirus', 'država', 'človek', 'kitajski', 'število', 'virus', 'potrditi', 'ukrep'], ['tekma', 'liga', 'klub', 'nogometen', 'sezona', 'prvak', 'prvenstvo', 'nogometaš', 'tekmovanje', 'igralec'], ['dirka', 'etapa', 'kolesar', 'roglič', 'pogačar', 'tour', 'zmaga', 'kolesarski', 'sezona', 'majica'], ['piškotek', 'uporabnik', 'spleten', 'aplikacija', 'telefon', 'pameten', 'omogočati', 'naprava', 'huawei', 'podjetje']]",0.8625,0.14831915964874764,-1.8457998753089848,1
top2vec,8,"[array(['branilec', 'tekma', 'zadetek', 'prvenstvo', 'kapetan', 'mostvo',
       'trener', 'soigralec', 'reprezentant', 'klubski'], dtype='<U15'), array(['lms', 'smc', 'sds', 'desus', 'nsi', 'sab', 'koalicijski',
       'koalicija', 'poslanski', 'jansev'], dtype='<U15'), array(['okuzba', 'bolnik', 'obolel', 'hospitaliziran', 'okuzen', 'covid',
       'bolnisnicen', 'okuziti', 'sirjenje', 'epidemiolog'], dtype='<U15'), array(['palcen', 'sportback', 'xiaomi', 'ohisje', 'funkcionalnost',
       'vticnica', 'zmogljiv', 'prepogljiv', 'flip', 'volanski'],
      dtype='<U15'), array(['opus', 'literaren', 'umetniski', 'ustvarjalec', 'pisatelj',
       'gledaliski', 'umetnost', 'priredba', 'pripoved', 'zanr'],
      dtype='<U15'), array(['prijateljica', 'ljubezen', 'obozevalec', 'seksi', 'zvezdnica',
       'obozevati', 'zmenek', 'ljubec', 'zaljubljen', 'seksati'],
      dtype='<U15'), array(['trump', 'donald', 'trumpov', 'biden', 'demokrat', 'republikanski',
       'demokratski', 'republikanec', 'predsedniski', 'bidnov'],
      dtype='<U15'), array(['policist', 'policijski', 'pridrzati', 'osumljenec', 'prostost',
       'izslediti', 'povzrocitev', 'vozisce', 'pridrzanje', 'nesreca'],
      dtype='<U15')]",1.0,0.09963753803626192,-5.272059855088342,2
NMF,8,"[['imeti', 'človek', 'čas', 'iti', 'zato', 'otrok', 'življenje', 'delo', 'vedeti', 'priti'], ['okužba', 'koronavirus', 'človek', 'covid', 'država', 'število', 'nov', 'ukrep', 'bolnik', 'okužen'], ['nov', 'koronavirus', 'svet', 'Ljubljana', 'mesto', 'čas', 'začeti', 'potrditi', 'ura', 'spleten'], ['vlada', 'Slovenija', 'država', 'slovenski', 'predsednik', 'evropski', 'minister', 'stranka', 'ukrep', 'predlog'], ['tekma', 'Nbsp', 'sezona', 'liga', 'slovenski', 'mesto', 'imeti', 'ekipa', 'točka', 'zmaga'], ['evro', 'odstotek', 'podjetje', 'milijon', 'Slovenija', 'cena', 'družba', 'Ljubljana', 'milijarda', 'delo'], ['občina', 'ura', 'javen', 'zaprt', 'mesten', 'številka', 'dom', 'center', 'nadaljnji', 'ukrep'], ['dohodnina', 'odmera', 'dohodek', 'napoved', 'izračun', 'davčen', 'informativen', 'obrazec', 'pravilnik', 'delo']]",0.8125,0.10346851410373283,-1.5439663214199788,2
LDA,8,"[['slovenski', 'film', 'delo', 'Slovenija', 'svet', 'knjiga', 'projekt', 'nagrada', 'kultura', 'program'], ['vozilo', 'nov', 'avtomobil', 'nesreča', 'voda', 'voznik', 'ura', 'cesta', 'prostor', 'območje'], ['vlada', 'nov', 'ukrep', 'okužba', 'Slovenija', 'koronavirus', 'covid', 'zdravstven', 'imeti', 'epidemija'], ['evro', 'podjetje', 'odstotek', 'milijon', 'Slovenija', 'evropski', 'sredstvo', 'država', 'družba', 'finančen'], ['imeti', 'čas', 'človek', 'zato', 'iti', 'otrok', 'življenje', 'vedeti', 'videti', 'priti'], ['država', 'nov', 'človek', 'predsednik', 'koronavirus', 'hrvaški', 'ameriški', 'ZDA', 'poročati', 'dejati'], ['tekma', 'sezona', 'liga', 'mesto', 'ekipa', 'slovenski', 'točka', 'klub', 'imeti', 'zmaga'], ['občina', 'Ljubljana', 'sodišče', 'policist', 'policija', 'ura', 'javen', 'uprava', 'postopek', 'oseba']]",0.8625,0.0766808888133953,-1.507984061910699,2
BERTopic,8,"[['imeti', 'nov', 'slovenija', 'čas', 'država', 'človek', 'slovenski', 'vlada', 'delo', 'iti'], ['okužba', 'nov', 'koronavirus', 'država', 'človek', 'kitajski', 'število', 'umreti', 'potrditi', 'covid'], ['tekma', 'liga', 'točka', 'minuta', 'sezona', 'ekipa', 'zmaga', 'nba', 'igralec', 'igrati'], ['tekma', 'turnir', 'liga', 'igralec', 'prvenstvo', 'klub', 'sezona', 'nogometen', 'igrati', 'teniški'], ['okužba', 'bolnik', 'nov', 'bolnišnica', 'covid', 'dom', 'okužen', 'zdravstven', 'potrditi', 'koronavirus'], ['film', 'filmski', 'festival', 'imeti', 'kraljev', 'meghan', 'princ', 'harry', 'nov', 'britanski'], ['evropski', 'država', 'komisija', 'članica', 'unija', 'dogovor', 'bruselj', 'minister', 'slovenija', 'nov'], ['šola', 'otrok', 'učenec', 'šolski', 'izobraževanje', 'vrtec', 'starš', 'dijak', 'daljava', 'pouk']]",0.775,0.1365486896989996,-2.146425858450649,2
