model_name,top_n_words,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
BERTopic,5,0.9066666666666666,0.20117944825213505,-2.2384738326264686,1
BERTopic,5,0.9466666666666667,0.2163961922279511,-2.1924727236653534,2
BERTopic,5,0.88,0.20056272660430632,-1.9246106756709505,3
BERTopic,8,0.875,0.17216249734326514,-2.1400594588404385,1
BERTopic,8,0.8916666666666667,0.17740289162751202,-2.1920749220846023,2
BERTopic,8,0.8416666666666667,0.1682028347743243,-1.962958211857944,3
BERTopic,10,0.8466666666666667,0.16310239027682147,-2.220300645668411,1
BERTopic,10,0.8666666666666667,0.16235756529856393,-2.2759508278198424,2
BERTopic,10,0.82,0.14611819277241986,-2.448133522206551,3
BERTopic,12,0.8388888888888889,0.13945597357771644,-2.397464049348514,1
BERTopic,12,0.85,0.1502670597754089,-2.2831833141885087,2
BERTopic,12,0.8111111111111111,0.13341216938554662,-2.5465269589912385,3
BERTopic,15,0.8355555555555556,0.11900813516609991,-2.845031344855865,1
BERTopic,15,0.8311111111111111,0.13235349035187388,-2.314981071427658,2
BERTopic,15,0.7822222222222223,0.11834048502755551,-2.7129586912542156,3
BERTopic,20,0.7933333333333333,0.10310806708948558,-2.6250518778274943,1
BERTopic,20,0.8,0.10570029632343268,-2.501415961446333,2
BERTopic,20,0.7633333333333333,0.09253985603994726,-2.723052445695062,3
BERTopic,25,0.784,0.08674184601884538,-2.5573336700383416,1
BERTopic,25,0.7786666666666666,0.0849483913707962,-2.6606807755702366,2
BERTopic,25,0.7466666666666667,0.07184283108127547,-2.794346986021701,3
BERTopic,30,0.7555555555555555,0.07484760760444281,-2.6877014415651073,1
BERTopic,30,0.76,0.07545733619623698,-2.8570745415226297,2
BERTopic,30,0.7311111111111112,0.059961559922640476,-2.8739646980164646,3
