model_name,n_gram_range,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
BERTopic,"(1, 1)",0.7933333333333333,0.1626380676952264,-1.723650871277978,1
BERTopic,"(1, 1)",0.8533333333333334,0.15991953355022917,-2.1400637932806412,2
BERTopic,"(1, 1)",0.86,0.1602371557923477,-2.398386478645533,3
BERTopic,"(1, 2)",0.8133333333333334,0.15496755937742945,-1.9699286275870824,1
BERTopic,"(1, 2)",0.8666666666666667,0.15776385293943035,-1.9587455388182429,2
BERTopic,"(1, 2)",0.8466666666666667,0.16966778075388544,-1.7259789835305728,3
BERTopic,"(1, 3)",0.8066666666666666,0.14983777793780492,-2.0089471731373965,1
BERTopic,"(1, 3)",0.84,0.15393624395820404,-1.9785897647986839,2
BERTopic,"(1, 3)",0.84,0.163375737460716,-1.853177748534,3
