model_name,min_df,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
BERTopic,5,0.8266666666666667,0.13045190926738634,-2.408875386047311,1
BERTopic,10,0.7466666666666667,0.08928744488247647,-2.3409142643007654,1
