model_name,n_gram_range,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
BERTopic,"(1, 1)",0.7466666666666667,0.08928744488247647,-2.3409142643007654,1
BERTopic,"(1, 1)",0.7866666666666666,0.13598607309730731,-2.0633524024972782,2
BERTopic,"(1, 1)",0.7866666666666666,0.09258440915240979,-2.009628984939264,3
BERTopic,"(1, 2)",0.7533333333333333,0.09440015727219118,-2.3584884477787047,1
BERTopic,"(1, 2)",0.7866666666666666,0.13408159680650994,-2.0691561221117074,2
BERTopic,"(1, 2)",0.7933333333333333,0.08767755472007097,-1.9893782022303261,3
BERTopic,"(1, 3)",0.7066666666666667,0.09929163311416798,-2.2987413231019924,1
BERTopic,"(1, 3)",0.7933333333333333,0.13371992464159438,-2.0633571863100335,2
BERTopic,"(1, 3)",0.7933333333333333,0.08767755472007097,-1.9893782022303261,3
