model_name,n_gram_range,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
BERTopic,"(1, 1)",0.44666666666666666,-0.15435897007638782,-8.26255415871631,1
BERTopic,"(1, 1)",0.38,-0.18993975283059608,-9.492417300393827,2
BERTopic,"(1, 1)",0.4,-0.1814242618977116,-8.74943644020198,3
BERTopic,"(1, 2)",0.44666666666666666,-0.15435897007638782,-8.26255415871631,1
BERTopic,"(1, 2)",0.38,-0.18993975283059608,-9.492417300393827,2
BERTopic,"(1, 2)",0.4,-0.19913280778695314,-9.318783583845256,3
BERTopic,"(1, 3)",0.44666666666666666,-0.15435897007638782,-8.26255415871631,1
BERTopic,"(1, 3)",0.38,-0.18993975283059608,-9.492417300393827,2
BERTopic,"(1, 3)",0.4,-0.19913280778695314,-9.318783583845256,3
