model_name,n_neighbors,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
BERTopic,15,0.86,0.016346416846992073,-7.050381013282617,1
BERTopic,15,0.86,0.001455331642219587,-7.832913519660783,2
BERTopic,15,0.8666666666666667,-0.028223010017968373,-8.445801566826102,3
BERTopic,20,0.86,-0.021071798702585767,-8.051662763394782,1
BERTopic,20,0.8533333333333334,-0.004728206195204126,-7.906128467815448,2
BERTopic,20,0.9066666666666666,-0.005870160985827955,-7.934191761616053,3
BERTopic,35,0.8533333333333334,-0.010997544553707791,-8.412696882687833,1
BERTopic,35,0.8933333333333333,0.006245973933778779,-7.686261383846054,2
BERTopic,35,0.8666666666666667,-0.004093488954164326,-8.167930893991715,3
BERTopic,50,0.8666666666666667,0.015922948368744794,-7.292517235035575,1
BERTopic,50,0.8733333333333333,0.016634078145563353,-7.214734767629733,2
BERTopic,50,0.88,0.041928087642371034,-6.669136953667367,3
BERTopic,80,0.8666666666666667,-0.005266614336842407,-7.879030212895518,1
BERTopic,80,0.92,0.00812168830297685,-7.812721719762041,2
BERTopic,80,0.8466666666666667,-0.0019736712135079645,-7.890359843341349,3
BERTopic,100,0.8733333333333333,-0.0021987520751302427,-8.105178333691404,1
BERTopic,100,0.86,0.009159761752672912,-7.454146435991046,2
BERTopic,100,0.8666666666666667,0.015375429409247172,-7.446965211726072,3
BERTopic,200,0.9333333333333333,0.04820068183140567,-6.347516092369313,1
BERTopic,200,0.9133333333333333,0.04771362852586029,-6.9426181904422775,2
BERTopic,200,0.8733333333333333,0.016205183846607404,-7.780614135273568,3
BERTopic,500,0.9266666666666666,0.03760083381091413,-6.6104601813074435,1
BERTopic,500,0.9133333333333333,0.011079055439055966,-8.045427559505008,2
BERTopic,500,0.9133333333333333,0.010284532074304905,-7.623789884121361,3
