model_name,n_gram_range,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
BERTopic,"(1, 1)",0.68,-0.05366180402157954,-6.921741475604875,1
BERTopic,"(1, 1)",0.6866666666666666,-0.042421663043665854,-6.954144336256074,2
BERTopic,"(1, 1)",0.6733333333333333,-0.05231734802207028,-7.029291314925763,3
BERTopic,"(1, 2)",0.6866666666666666,-0.06632742584116676,-7.540096318787547,1
BERTopic,"(1, 2)",0.7,-0.038505051766601656,-6.730231048976604,2
BERTopic,"(1, 2)",0.6866666666666666,-0.06383687053039071,-7.367056214690679,3
BERTopic,"(1, 3)",0.6866666666666666,-0.06632742584116676,-7.540096318787547,1
BERTopic,"(1, 3)",0.7,-0.038505051766601656,-6.730231048976604,2
BERTopic,"(1, 3)",0.6866666666666666,-0.06383687053039071,-7.367056214690679,3
