model_name,n_neighbors,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
BERTopic,15,0.9,-0.16782015809160747,-12.176077204408797,1
BERTopic,15,0.92,-0.17457788069981364,-12.27257191809743,2
BERTopic,15,0.9066666666666666,-0.20367812513587358,-12.854947515050776,3
BERTopic,20,0.9,-0.17960700299619906,-12.180110324519559,1
BERTopic,20,0.94,-0.20175219666791028,-12.860846454208689,2
BERTopic,20,0.9333333333333333,-0.21079456778054412,-12.984474916482892,3
BERTopic,35,0.94,-0.2261961011336285,-13.362831300441947,1
BERTopic,35,0.96,-0.21133445220141672,-13.476183612166077,2
BERTopic,35,0.9333333333333333,-0.2081172110733903,-13.011626783566442,3
BERTopic,50,0.9266666666666666,-0.22128918611156534,-13.012572350762342,1
BERTopic,50,0.9466666666666667,-0.21267300052507654,-13.14732518534323,2
BERTopic,50,0.94,-0.20763352720517425,-13.233796153731658,3
BERTopic,80,0.9266666666666666,-0.21405543650891684,-13.156802916035078,1
BERTopic,80,0.9466666666666667,-0.21198431122785974,-13.379153562045191,2
BERTopic,80,0.92,-0.23662636589820454,-13.453242280191914,3
BERTopic,100,0.94,-0.22042406521068972,-13.18755992556652,1
BERTopic,100,0.9266666666666666,-0.18939785957878336,-12.286346128212381,2
BERTopic,100,0.9,-0.19861762857829962,-12.358883441755836,3
BERTopic,200,0.8866666666666667,-0.21379194581128072,-12.4262021419166,1
BERTopic,200,0.9266666666666666,-0.21983236763268535,-13.179205339388313,2
BERTopic,200,0.8933333333333333,-0.19854271367775325,-12.434946661546125,3
BERTopic,500,0.9066666666666666,-0.2237001838417178,-12.806664627408383,1
BERTopic,500,0.92,-0.2217063091331894,-13.239439005284162,2
BERTopic,500,0.8933333333333333,-0.19993596664519597,-12.285027999961049,3
